Gene,logFC,logCPM,PValue,FDR
Dmagna017185-T1,-2.39670274491894,-0.0684873458829758,7.0740411005024E-06,0.00194343201870166
Dmagna013343-T1,-3.62436825723166,1.09739654447289,9.50911485751945E-06,0.00256576295530569
Dmagna020187-T1,4.04883075965956,5.9038779284033,1.00656349122153E-05,0.00266827620216796
Dmagna010043-T1,3.31435404789905,5.74604906255331,1.08443913592306E-05,0.00282515092134437
Dmagna014213-T1,2.00785606218848,1.64024317352518,1.17666242210135E-05,0.00301345240643244
Dmagna028592-T1,-2.04527896516148,1.86898810234353,1.21763226179569E-05,0.00306640391262214
Dmagna017913-T1,-1.45675818818663,4.19573871793159,1.29817509119228E-05,0.0032156435455599
Dmagna019500-T1,-2.31955974710192,0.565707899138552,1.35457068329242E-05,0.00329957806581594
Dmagna024227-T1,2.59832947756017,4.30690825437289,1.39660731426444E-05,0.00329957806581594
Dmagna014030-T1,-2.9398255082654,2.2449745819416,1.4121084825368E-05,0.00329957806581594
Dmagna014615-T1,2.83222141145207,3.41841956406841,1.41940816861705E-05,0.00329957806581594
Dmagna012591-T1,1.88468963810722,4.30775289588617,1.470154637891E-05,0.00336576311795955
Dmagna013739-T1,-3.8949368031238,3.50274485929461,1.57267857819533E-05,0.00354674228604946
Dmagna001099-T1,-1.72253694304913,1.72808706278553,1.67129420609395E-05,0.00371371403736465
Dmagna025469-T1,4.20485586564767,0.229163414547983,1.73080218610226E-05,0.00379020594666741
Dmagna032284-T1,-0.949723908000535,4.13671440571953,1.96147363897633E-05,0.00423398095499033
Dmagna026884-T1,3.52968875506303,5.72981366744512,2.06776768317233E-05,0.00440055911165266
Dmagna028536-T1,-5.04278615412099,2.28766671423872,2.13468453149857E-05,0.00444258337697666
Dmagna019291-T1,-1.36117886010405,4.15270822286539,2.14631758119984E-05,0.00444258337697666
Dmagna030853-T1,2.59121761032375,10.1198470420783,2.29102584993095E-05,0.00467802710708873
Dmagna008313-T1,-1.38398771986545,1.09965432835984,2.47415530265436E-05,0.00498459821641432
Dmagna019737-T1,-1.13617441524823,4.01594364105819,2.54419567275972E-05,0.00505826271255256
Dmagna000070-T1,1.72592285653173,7.7526506924116,2.63059781670042E-05,0.00516212117017447
Dmagna032509-T1,-1.08788929168807,5.27774073633619,2.6730899278242E-05,0.00517825497556715
Dmagna018736-T1,1.84232530618973,7.90911126639653,2.91297607229156E-05,0.0055715276521931
Dmagna026366-T1,2.67670942244299,4.65094967106773,3.08253479752892E-05,0.00582213759883275
Dmagna026809-T1,-1.25944660961805,3.13058866911772,3.31999282544758E-05,0.00619322118426086
Dmagna019236-T1,-1.26509623245638,1.72751325119891,3.38565645586781E-05,0.0062386913473369
Dmagna023578-T1,2.08096934335454,2.26889970566493,3.4344163985711E-05,0.00625229298583244
Dmagna032203-T1,-2.29603313580819,0.437827925931031,3.77086686081606E-05,0.00676002080612485
Dmagna002749-T1,-1.61262193462701,3.48308604269887,3.80279132045409E-05,0.00676002080612485
Dmagna028763-T1,3.79099742365206,5.68739748081638,4.19624188469392E-05,0.00737269940438665
Dmagna016053-T1,4.70568840598256,-0.204714204245969,4.46578593871504E-05,0.0077560948889637
Dmagna009587-T1,-3.51803867670826,4.70094529077979,4.92558273781314E-05,0.00845744945094961
Dmagna019403-T1,2.21544343829281,3.32085555352597,5.65795488107243E-05,0.00960580879247241
Dmagna023983-T1,-2.5402409980443,0.341532885024334,5.89158585256276E-05,0.00987093133641957
Dmagna031494-T1,1.46427901945916,6.75005312718593,5.94477003053727E-05,0.00987093133641957
Dmagna010548-T1,-4.18338516367625,0.215095807439603,6.35298598783391E-05,0.010434088943062
Dmagna020716-T1,2.69457921952281,6.58730110475135,6.46234778610349E-05,0.0104995779621531
Dmagna032131-T1,2.20183281154302,7.90978368988546,6.62716449093916E-05,0.0106528144104352
Dmagna032017-T2,2.83601220434573,0.842794496476129,6.74279771916704E-05,0.0107245972143804
Dmagna002568-T1,4.2661303691799,5.54608837167146,6.81436198464128E-05,0.010725521832076
Dmagna014696-T1,2.77496223084529,8.65072483206038,7.26737231850123E-05,0.0113206181167581
Dmagna009334-T1,-1.50472075180334,4.42485020289574,7.59580444158824E-05,0.0117114903175917
Dmagna030794-T1,-8.92226254862699,2.6725033140047,7.79987021136286E-05,0.0119046503933023
Dmagna001173-T1,-1.24607700478345,2.67507407644407,8.03590995127862E-05,0.012142259936382
Dmagna026667-T1,-1.69757553930192,2.29802099449011,8.39682832703247E-05,0.0125619877248971
Dmagna031623-T1,-1.23274540015734,3.96999810629318,8.58783015457912E-05,0.0127217758466363
Dmagna009829-T1,-1.23172543964719,3.96943660046487,8.67782933074567E-05,0.0127302913774337
Dmagna003268-T1,-1.44387427200075,2.05842411676898,8.86244445168851E-05,0.012876109198559
Dmagna013834-T1,-3.39799031422896,0.220405592802083,8.99490805663205E-05,0.0129441010224486
Dmagna018628-T1,2.97729900646052,6.07081085301478,9.33464708292504E-05,0.0132128166794495
Dmagna029156-T1,1.78852418149219,4.87191541063513,9.35652802581794E-05,0.0132128166794495
Dmagna002830-T1,-1.55331988961197,2.75246738751818,9.76707814025511E-05,0.0136648658054866
Dmagna018460-T2,1.1581242325925,1.50010377516928,9.86490948279826E-05,0.0136751176408332
Dmagna023203-T1,3.16425771995294,2.91153727763398,0.000103244479694209,0.0141503660104747
Dmagna009840-T1,3.78625897369475,3.58705559317955,0.000103950405503818,0.0141503660104747
Dmagna023904-T1,5.04548097491914,6.15475175680792,0.000109450984174763,0.0147479885330684
Dmagna012636-T1,0.954647674474694,4.93456522422947,0.000110292700478936,0.0147479885330684
Dmagna018920-T1,-2.08761026112486,0.617499629069687,0.000111459384093084,0.0147669600031825
Dmagna016314-T1,-3.8250744071438,2.75523716185999,0.000112617735618736,0.0147669600031825
Dmagna032689-T1,-1.68432932820232,0.422844579577557,0.000113366469911924,0.0147669600031825
Dmagna009437-T1,-1.24862248199607,3.71162906126916,0.00011501858703136,0.0148541098294346
