gene-LOC124198235	GO:0005524,GO:0006508,GO:0004197,GO:0004672,GO:0006468
gene-LOC124198374	GO:0003723,GO:0003735,GO:0002181,GO:0022625
gene-LOC124198381	GO:0046872
gene-LOC124198262	GO:0099158,GO:1905244,GO:0098998,GO:0098837,GO:0098978,GO:0099152
gene-LOC124198182	GO:0005737,GO:0005856,GO:0005085,GO:0046872,GO:0007010,GO:0046847,GO:0050790
gene-LOC124198278	GO:0004865,GO:0043086
gene-LOC124198217	GO:0005737,GO:0043231,GO:0016491,GO:1901981,GO:0006066,GO:0044237
gene-LOC124200558	GO:0005681,GO:0005737,GO:0005515,GO:0010468,GO:0045292
gene-LOC124200565	GO:0005737,GO:0004512,GO:0006021,GO:0008654
gene-LOC124188287	GO:0005887,GO:0007218,GO:0002121,GO:0007217,GO:0004995,GO:0004983
gene-LOC124193623	GO:0005887,GO:0007218,GO:0002121,GO:0007217,GO:0004995,GO:0004983
gene-LOC124193737	GO:0008270,GO:0006508,GO:0004222
gene-LOC124189137	GO:0015698,GO:0000166,GO:0008308,GO:0015288,GO:0098656,GO:0046930,GO:1902017,GO:0005741
gene-LOC124189105	GO:0032051,GO:0030130,GO:0005938,GO:0005198,GO:0030132,GO:0045334,GO:0006886,GO:0071439,GO:0006898
gene-LOC124189121	GO:0005887,GO:0071805,GO:0030322,GO:0022841
gene-LOC124189163	GO:0060088,GO:0060047,GO:0060087,GO:0080134,GO:0048678,GO:0043025,GO:0004784,GO:0006879,GO:0007605,GO:0005507,GO:0051881,GO:0098930,GO:0051087,GO:0005829,GO:0032287,GO:0030346,GO:0008270,GO:0045859,GO:0042542,GO:0005886,GO:0005634,GO:0045541,GO:0043085,GO:0019430,GO:0032839,GO:0032991,GO:0040014,GO:0046716,GO:0002262,GO:1902533,GO:0043524,GO:0045471,GO:0009408,GO:0007626,GO:0031410,GO:0019226,GO:0060052,GO:0007283,GO:0007569,GO:0008217,GO:0007566,GO:0001541,GO:0005777,GO:0001895,GO:0006749,GO:0005739,GO:0016021,GO:0001819,GO:0050665
gene-LOC124197947	GO:0016021,GO:0008168,GO:0032259
gene-LOC124197956	GO:0042393,GO:0034080,GO:0005654,GO:0006335
gene-LOC124188988	GO:0005654,GO:0005761,GO:0032543
gene-LOC124203529	GO:0016491
gene-LOC124202742	GO:0005524,GO:0016459,GO:0003723,GO:0003724,GO:0005681,GO:0004674,GO:0006468,GO:0035556,GO:0003774
gene-LOC124188525	GO:0005604,GO:0009887,GO:0009888,GO:0016477,GO:0034446
gene-LOC124188569	GO:0016021,GO:0008168,GO:0032259
gene-LOC124188536	GO:0005737,GO:0004454,GO:0006000,GO:0009744,GO:0009749,GO:0009750,GO:0010043,GO:0032868,GO:0046835,GO:0070873
gene-LOC124188586	GO:0005576,GO:0016021,GO:0008061
gene-LOC124198396	GO:0005576,GO:0008061
gene-LOC124191400	GO:0005777,GO:0016021,GO:0000166,GO:0004540,GO:0004674,GO:0080019,GO:0102965,GO:0006629,GO:0016310,GO:0035336,GO:0090501
gene-LOC124196475	GO:0005524,GO:0006468,GO:0004674
gene-LOC124196465	GO:0005777,GO:0016021,GO:0000166,GO:0004540,GO:0004674,GO:0080019,GO:0102965,GO:0006629,GO:0016310,GO:0035336,GO:0090501
gene-LOC124209171	GO:0005777,GO:0016021,GO:0000166,GO:0004540,GO:0004674,GO:0080019,GO:0102965,GO:0006629,GO:0016310,GO:0035336,GO:0090501
gene-LOC124198048	GO:0090502,GO:0005524,GO:0036498,GO:0016021,GO:1990604,GO:0051082,GO:0006397,GO:0070059,GO:0004674,GO:0006468,GO:0106310,GO:0004521
gene-LOC124198052	GO:0005777,GO:0043190,GO:0004521,GO:0004674,GO:0005524,GO:0080019,GO:0102965,GO:0106310,GO:0006397,GO:0006468,GO:0006629,GO:0030968,GO:0035336,GO:0055085,GO:0090502
gene-LOC124198063	GO:0005777,GO:0016021,GO:0080019,GO:0102965,GO:0006629,GO:0035336
gene-LOC124198817	GO:0016021
gene-LOC124200646	GO:0005654,GO:0005829,GO:0005515,GO:0007009,GO:0030838,GO:0051017,GO:0051764,GO:2000251
gene-LOC124200656	GO:0007271,GO:0060079,GO:0046716,GO:0006812,GO:0004888,GO:0045211,GO:0017085,GO:0022848,GO:0034220,GO:0005892,GO:0043005
gene-LOC124188709	GO:0005887,GO:0060079,GO:0004888,GO:0045211,GO:0022848,GO:0034220,GO:0043005
gene-LOC124201951	GO:0005887,GO:0060079,GO:0004888,GO:0045211,GO:0022848,GO:0034220,GO:0043005
gene-LOC124197914	GO:0005515
gene-LOC124208760	GO:0032589,GO:0050808
gene-LOC124208109	GO:0005777,GO:0016020,GO:0080019,GO:0102965,GO:0006629,GO:0035336
gene-LOC124192599	GO:0005887,GO:0008271,GO:0015301,GO:1902358
gene-LOC124192517	GO:0005887,GO:0008271,GO:0015301,GO:0005216,GO:1902358
gene-LOC124188955	GO:0005887,GO:0008271,GO:0015301,GO:0005216,GO:1902358
gene-LOC124193967	GO:0003779,GO:0016567
gene-LOC124193956	GO:0005697,GO:0005737,GO:0005515,GO:0042162,GO:0070034,GO:0000184
gene-LOC124193945	GO:0038202,GO:0071230,GO:0030307,GO:0005515,GO:0005737,GO:0010506,GO:0009267,GO:0031931,GO:0030674,GO:0071902
gene-LOC124193977	GO:0005777,GO:0016020,GO:0000166,GO:0004540,GO:0004674,GO:0080019,GO:0102965,GO:0006629,GO:0016310,GO:0035336,GO:0090501
gene-LOC124195521	GO:0016021
gene-LOC124201640	GO:0016021
gene-LOC124201512	GO:0003779,GO:0005794
gene-LOC124198203	GO:0006516,GO:0004567,GO:0005975,GO:0005764
gene-LOC124207448	GO:0006814,GO:0055085,GO:0016021,GO:0015293
gene-LOC124207225	GO:0006814,GO:0055085,GO:0016021,GO:0015293
gene-LOC124195585	GO:0000978,GO:0000981,GO:0006357
gene-LOC124200477	GO:0005887,GO:0055085,GO:0005515,GO:0043252,GO:0015347
gene-LOC124200483	GO:0055085,GO:0008643,GO:0016021,GO:0005366,GO:0015798
gene-LOC124196436	GO:0005515,GO:0070260,GO:0016605,GO:0005737,GO:0003697,GO:0006302
gene-LOC124196416	GO:0005525,GO:0032438,GO:0005802,GO:0016192,GO:0042470,GO:0003924,GO:0005739,GO:0016020,GO:0006886
gene-LOC124197784	GO:0005112,GO:0005509
gene-LOC124198022	GO:0005747,GO:0016491,GO:0046872,GO:0051537,GO:0006120
gene-LOC124198016	GO:0005634,GO:0035064,GO:0046872,GO:0006325,GO:0006355
gene-LOC124198008	GO:0005634,GO:0005829,GO:0004197,GO:0004843,GO:0006511,GO:0016579,GO:0031647
gene-LOC124192597	GO:0016021,GO:0005515
gene-LOC124189228	GO:0005634,GO:0000977,GO:0000981,GO:0006357
gene-LOC124189593	GO:0005737,GO:0008180,GO:0000338,GO:0010387
gene-LOC124200346	GO:0051015,GO:0051764,GO:0008093,GO:0001578,GO:0035371,GO:0005737,GO:0001725,GO:0031110,GO:0005884,GO:1904825,GO:0008017
gene-LOC124196196	GO:0005634,GO:0051287,GO:0006065,GO:0003979,GO:0006024,GO:0005829
gene-LOC124196218	GO:0000139,GO:0005789,GO:0016021,GO:0006506
gene-LOC124196115	GO:0016021,GO:0006874
gene-LOC124196190	GO:0015276,GO:0034220,GO:0038023,GO:0016021,GO:0005886
gene-LOC124196207	GO:0005886,GO:0016021,GO:0003677,GO:0046872,GO:0010646,GO:0016192,GO:0023051,GO:0031503,GO:0051641
gene-LOC124192384	GO:0005634,GO:0016020,GO:0000981,GO:0006357,GO:0022607
gene-LOC124192462	GO:0071014,GO:0000398
gene-LOC124210433	GO:0000781,GO:0035861,GO:0006260,GO:0000724,GO:0006289,GO:0005662,GO:0003697
gene-LOC124205645	GO:0006814,GO:0055085,GO:0016021,GO:0015293
gene-LOC124207202	GO:0006814,GO:0055085,GO:0016021,GO:0015293
gene-LOC124210503	GO:0016021
