gene,color,number
gene-LOC124188380,grey,2
gene-LOC124188382,grey,2
gene-LOC124188384,grey,2
gene-LOC124188390,grey,2
gene-LOC124188391,grey,2
gene-LOC124188392,grey,2
gene-LOC124188393,grey,2
gene-LOC124188394,grey,2
gene-LOC124188395,grey,2
gene-LOC124188405,grey,2
gene-LOC124188420,grey,2
gene-LOC124188430,grey,2
gene-LOC124188434,grey,2
gene-LOC124188436,grey,2
gene-LOC124188441,grey,2
gene-LOC124188443,grey,2
gene-LOC124188445,grey,2
gene-LOC124188449,grey,2
gene-LOC124188451,grey,2
gene-LOC124188452,grey,2
gene-LOC124188457,grey,2
gene-LOC124188460,grey,2
gene-LOC124188469,grey,2
gene-LOC124188473,grey,2
gene-LOC124188478,grey,2
gene-LOC124188482,grey,2
gene-LOC124188491,grey,2
gene-LOC124188493,grey,2
gene-LOC124188501,grey,2
gene-LOC124188504,grey,2
gene-LOC124188510,grey,2
gene-LOC124188511,grey,2
gene-LOC124188514,grey,2
gene-LOC124188517,grey,2
gene-LOC124188518,grey,2
gene-LOC124188519,grey,2
gene-LOC124188528,grey,2
gene-LOC124188534,grey,2
gene-LOC124188535,grey,2
gene-LOC124188539,grey,2
gene-LOC124188542,grey,2
gene-LOC124188545,grey,2
gene-LOC124188546,grey,2
gene-LOC124188550,grey,2
gene-LOC124188557,grey,2
gene-LOC124188559,grey,2
gene-LOC124188560,grey,2
gene-LOC124188562,grey,2
gene-LOC124188563,grey,2
gene-LOC124188569,grey,2
gene-LOC124188576,grey,2
gene-LOC124188590,grey,2
gene-LOC124188593,grey,2
gene-LOC124188595,grey,2
gene-LOC124188597,grey,2
gene-LOC124188598,grey,2
gene-LOC124188606,grey,2
gene-LOC124188617,grey,2
gene-LOC124188624,grey,2
gene-LOC124188630,grey,2
gene-LOC124188653,grey,2
gene-LOC124188658,grey,2
gene-LOC124188659,grey,2
gene-LOC124188670,grey,2
gene-LOC124188671,grey,2
gene-LOC124188673,grey,2
gene-LOC124188678,grey,2
gene-LOC124188684,grey,2
gene-LOC124188686,grey,2
gene-LOC124188689,grey,2
gene-LOC124188717,grey,2
gene-LOC124188718,grey,2
gene-LOC124188719,grey,2
gene-LOC124188721,grey,2
gene-LOC124188722,grey,2
gene-LOC124188723,grey,2
gene-LOC124188724,grey,2
gene-LOC124188740,grey,2
gene-LOC124188742,grey,2
gene-LOC124188743,grey,2
gene-LOC124188747,grey,2
gene-LOC124188768,grey,2
gene-LOC124188772,grey,2
gene-LOC124188777,grey,2
gene-LOC124188787,grey,2
gene-LOC124188791,grey,2
