logFC,logCPM,PValue,FDR,,
BJP76_RS00810,3.178904478,7.957027691,5.83E-38,1.47E-35,
BJP76_RS08980,3.172244872,6.698600142,4.21E-15,8.42E-14,
BJP76_RS03405,3.170972351,6.908651557,1.60E-18,5.53E-17,
BJP76_RS11800,3.164125151,8.411009508,1.16E-17,3.49E-16,
BJP76_RS18130,3.160235764,7.085046189,2.18E-13,3.26E-12,
BJP76_RS23825,3.158687083,4.637576637,6.43E-07,3.16E-06,
BJP76_RS10905,3.14793342,8.417211916,2.19E-07,1.17E-06,
BJP76_RS07685,3.127363881,8.505625254,0.000144025,0.000441987,
BJP76_RS11400,3.124894566,8.461664578,6.71E-19,2.48E-17,
BJP76_RS22445,3.119583127,1.437116564,9.09E-08,5.21E-07,
BJP76_RS22560,3.074748698,7.028341621,7.01E-14,1.16E-12,
BJP76_RS09245,3.056680072,8.904085717,1.71E-12,2.19E-11,
BJP76_RS18325,3.036760519,5.379356885,7.98E-06,3.23E-05,
BJP76_RS05930,3.028139292,9.048199415,1.28E-08,8.82E-08,
BJP76_RS06785,3.0217698,10.27327568,3.92E-16,9.26E-15,
BJP76_RS22420,3.018503147,9.602577753,1.05E-17,3.23E-16,
BJP76_RS10630,2.980955263,7.0864337,2.90E-12,3.61E-11,
BJP76_RS14325,2.978876789,6.366237352,7.76E-21,3.61E-19,
BJP76_RS22035,2.956103011,9.534275037,3.57E-11,3.81E-10,
BJP76_RS23475,2.941395478,7.338509951,4.01E-10,3.56E-09,
BJP76_RS23470,2.934731403,8.110793414,1.29E-10,1.25E-09,
BJP76_RS06790,2.933758532,8.9713276,2.41E-28,3.44E-26,
BJP76_RS16220,2.91323069,10.16423764,2.51E-12,3.16E-11,
BJP76_RS23360,2.909723739,7.204292432,1.06E-15,2.28E-14,
BJP76_RS22140,2.859736962,8.490463044,7.23E-11,7.33E-10,
BJP76_RS08220,2.83405381,4.850176072,3.55E-08,2.22E-07,
BJP76_RS14320,2.826693603,7.381875902,4.58E-18,1.50E-16,
BJP76_RS12975,2.824648179,7.872816249,2.95E-19,1.13E-17,
BJP76_RS01175,2.818221144,6.902165792,4.86E-06,2.04E-05,
BJP76_RS06030,2.797543297,5.267655211,8.25E-10,6.91E-09,
BJP76_RS06795,2.774706233,8.824888888,7.66E-16,1.68E-14,
BJP76_RS23355,2.77078782,7.401719599,1.04E-20,4.68E-19,
BJP76_RS22620,2.752378282,11.78999865,8.95E-08,5.17E-07,
BJP76_RS02765,2.751445279,7.797130642,2.13E-11,2.35E-10,
BJP76_RS21375,2.749820664,6.511300927,2.35E-11,2.57E-10,
BJP76_RS15710,2.745830104,6.693200792,1.27E-21,6.63E-20,
BJP76_RS11405,2.743762188,9.01930306,3.80E-23,2.71E-21,
BJP76_RS22040,2.738454172,12.63350533,2.73E-10,2.49E-09,
BJP76_RS02795,2.723280256,5.378985407,8.65E-06,3.47E-05,
BJP76_RS23305,2.673874831,8.860920057,3.69E-17,1.02E-15,
BJP76_RS08225,2.668774837,4.033492911,1.29E-07,7.14E-07,
BJP76_RS06805,2.66835095,10.97629182,6.06E-20,2.52E-18,
BJP76_RS05445,2.64826926,8.455514144,3.29E-13,4.75E-12,
BJP76_RS04880,2.647871786,9.207728867,3.70E-11,3.94E-10,
BJP76_RS08365,2.630551685,5.005844656,1.71E-14,3.08E-13,
BJP76_RS13125,2.627342558,7.117442224,1.84E-18,6.26E-17,
BJP76_RS04875,2.615121951,8.679862535,5.41E-08,3.26E-07,
BJP76_RS20170,2.610585657,6.009620038,4.87E-18,1.58E-16,
BJP76_RS11880,2.574142432,4.909469041,1.15E-11,1.31E-10,
BJP76_RS14615,2.574139291,6.408302163,3.08E-17,8.80E-16,
BJP76_RS22405,2.573464822,4.844417946,5.29E-14,8.96E-13,
BJP76_RS08915,2.570817531,3.173301137,2.15E-11,2.37E-10,
BJP76_RS13910,2.570725711,7.154959173,4.99E-13,6.94E-12,
BJP76_RS22250,2.569718154,7.487876595,3.40E-12,4.17E-11,
BJP76_RS22430,2.558957921,8.755743927,4.88E-23,3.37E-21,
BJP76_RS12970,2.558401538,8.161208439,3.56E-17,9.97E-16,
BJP76_RS22400,2.5481741,8.931903794,7.73E-17,2.03E-15,
