logFC,logCPM,PValue,FDR,,
BJP76_RS09035,-0.21399785,3.322898951,0.506633527,0.579609335,
BJP76_RS16480,-0.214221888,6.959865265,0.398589285,0.478508337,
BJP76_RS13950,-0.214823237,7.54785169,0.561702145,0.630478994,
BJP76_RS18435,-0.214831691,5.938836056,0.434034146,0.512296714,
BJP76_RS07695,-0.215012227,6.696189452,0.4567022,0.533754332,
BJP76_RS05810,-0.215633991,7.856384252,0.493071842,0.567833371,
BJP76_RS08745,-0.215680988,8.276523091,0.315793322,0.395411293,
BJP76_RS19250,-0.216029075,4.787726689,0.434288762,0.512455951,
BJP76_RS08700,-0.216131915,5.074817003,0.690759337,0.745622975,
BJP76_RS06055,-0.2163899,6.21388604,0.257524863,0.331667851,
BJP76_RS07720,-0.216968483,3.450254805,0.371685061,0.451015801,
BJP76_RS10495,-0.218464216,5.055799893,0.257027297,0.331226327,
BJP76_RS15370,-0.21868714,8.690773566,0.255895141,0.330164888,
BJP76_RS19370,-0.218895876,7.990726747,0.328469454,0.409129395,
BJP76_RS05165,-0.221383926,6.925123942,0.280036292,0.356160239,
BJP76_RS18405,-0.222364602,6.539246671,0.371444441,0.450851617,
BJP76_RS12310,-0.222654434,3.328015752,0.37120133,0.450763963,
BJP76_RS03875,-0.22272426,3.757525553,0.504399048,0.577516,
BJP76_RS22755,-0.222911316,8.294115553,0.321412593,0.401039729,
BJP76_RS07000,-0.223394043,5.834166363,0.27172018,0.346923379,
BJP76_RS15890,-0.223669356,5.83539181,0.311243696,0.390514145,
BJP76_RS05315,-0.223700545,0.147543489,0.681469776,0.736896214,
BJP76_RS14790,-0.223806934,5.44348642,0.315037762,0.39458065,
BJP76_RS23890,-0.225898564,3.142337453,0.401590553,0.480763187,
BJP76_RS04765,-0.226854025,5.083294971,0.319369567,0.398955681,
BJP76_RS13195,-0.227998395,7.133967987,0.645362622,0.70623655,
BJP76_RS09980,-0.228365027,2.458690447,0.565583091,0.633506335,
BJP76_RS10825,-0.229164468,6.734243896,0.579616823,0.645845815,
BJP76_RS02070,-0.230844391,8.042858029,0.251195222,0.325474196,
BJP76_RS20265,-0.231173966,8.331738963,0.204303763,0.273919327,
BJP76_RS14795,-0.231358196,6.343859722,0.306870057,0.385931467,
BJP76_RS14565,-0.231370144,6.841247204,0.36158795,0.441516832,
BJP76_RS07605,-0.231832746,6.165820372,0.245692261,0.319601509,
BJP76_RS04685,-0.232374839,5.481111332,0.296844952,0.375308103,
BJP76_RS15740,-0.233900435,6.981478491,0.199093428,0.268531495,
BJP76_RS01365,-0.233914705,5.551450413,0.180863516,0.247372751,
BJP76_RS06745,-0.235559347,7.796149717,0.228292306,0.300621151,
BJP76_RS21850,-0.235715512,3.180366998,0.317558118,0.397185905,
BJP76_RS19965,-0.236591605,10.28628733,0.352221759,0.432051963,
BJP76_RS22150,-0.236607857,4.770610359,0.345350565,0.425921414,
BJP76_RS13245,-0.236862886,4.165397366,0.459987712,0.536715017,
BJP76_RS10665,-0.237189458,2.239459846,0.439619106,0.516981541,
BJP76_RS05820,-0.237193952,5.369084408,0.160479775,0.223375054,
BJP76_RS03215,-0.23867882,7.096532493,0.14630988,0.206853565,
BJP76_RS12025,-0.238790276,6.265007731,0.228601449,0.300843161,
BJP76_RS03230,-0.239338934,6.07474499,0.339014081,0.419335244,
BJP76_RS09785,-0.240092345,6.396074001,0.342811287,0.423176217,
BJP76_RS20335,-0.24015124,7.021692346,0.221878572,0.293620454,
BJP76_RS21320,-0.240231517,7.558091104,0.192882117,0.261306438,
BJP76_RS01975,-0.240462222,6.708973805,0.621631467,0.683938398,
BJP76_RS13335,-0.240922914,7.538744646,0.265132641,0.339626821,
BJP76_RS22700,-0.241613625,4.873926424,0.312755086,0.392180586,
BJP76_RS14810,-0.241680083,6.652471187,0.307982047,0.387216195,
BJP76_RS06715,-0.241825402,0.640799971,0.583622789,0.649971166,
BJP76_RS15730,-0.24183561,8.026124617,0.249080915,0.323321831,
BJP76_RS00755,-0.241919845,8.264615218,0.279914395,0.356111003,
BJP76_RS11735,-0.242133357,5.974736623,0.348435237,0.428758624,
BJP76_RS00650,-0.242233437,4.407734424,0.516824535,0.589378219,
BJP76_RS01520,-0.242489812,6.37925772,0.195806381,0.26451471,
BJP76_RS00395,-0.24251727,8.606492895,0.607267826,0.672455655,
BJP76_RS02845,-0.243704788,3.709353415,0.399501472,0.479468965,
BJP76_RS20360,-0.243785274,2.810271061,0.565469744,0.633506335,
BJP76_RS16640,-0.244664005,9.052189849,0.288683251,0.36661317,
BJP76_RS03805,-0.24550041,4.375165383,0.369393635,0.449254021,
BJP76_RS15265,-0.245799906,7.638171482,0.290212345,0.368227341,
BJP76_RS18720,-0.246147302,4.60445327,0.289651175,0.367733298,
BJP76_RS07985,-0.246612083,7.441937319,0.254229507,0.328439768,
BJP76_RS23045,-0.247162041,5.894688005,0.232171746,0.304512023,
BJP76_RS16495,-0.247828511,7.101164816,0.533242437,0.60391822,
BJP76_RS03850,-0.247920043,7.190887247,0.446826208,0.524072053,
BJP76_RS08515,-0.248236897,7.456681728,0.351073218,0.431176564,
BJP76_RS04760,-0.249814357,7.171054873,0.230523511,0.302907044,
BJP76_RS05805,-0.251094857,6.186677572,0.350804866,0.431176564,
BJP76_RS21830,-0.252751171,5.571283877,0.360470099,0.440403109,
BJP76_RS03270,-0.253149212,6.148130101,0.390280814,0.470380677,
BJP76_RS19890,-0.254166008,9.379043561,0.225531719,0.29771856,
BJP76_RS20605,-0.254548432,8.507279729,0.296227271,0.374637799,
BJP76_RS19635,-0.255082372,7.550213117,0.148554545,0.209611736,
BJP76_RS20945,-0.255970056,5.759919328,0.277186186,0.353164899,
BJP76_RS00240,-0.256854322,6.735145132,0.251353876,0.325581224,
BJP76_RS03325,-0.257960857,8.283258942,0.45332508,0.53053162,
BJP76_RS01040,-0.258177882,10.48407403,0.21071326,0.280779568,
BJP76_RS21265,-0.25951881,7.997651381,0.365193045,0.445410662,
BJP76_RS20750,-0.260368179,3.010016049,0.394103414,0.474334067,
BJP76_RS21155,-0.261936702,6.497052814,0.314898276,0.39452137,
BJP76_RS13355,-0.262541559,8.887705271,0.215242171,0.2856329,
BJP76_RS00255,-0.263224573,7.953008809,0.210294487,0.280554758,
BJP76_RS20160,-0.264045659,4.685823054,0.264685415,0.339206927,
BJP76_RS03245,-0.26487033,4.341789985,0.275980795,0.351943337,
BJP76_RS14200,-0.265034289,9.612977862,0.400568113,0.479885541,
BJP76_RS18890,-0.265198717,4.134941636,0.19572706,0.264491018,
BJP76_RS21495,-0.26528007,5.02999977,0.255465146,0.329709463,
BJP76_RS00845,-0.265947046,8.127212831,0.259447773,0.333542317,
BJP76_RS20820,-0.266564435,3.102304608,0.419833409,0.498283011,
BJP76_RS05415,-0.266888824,4.296681288,0.35461178,0.434361382,
BJP76_RS22745,-0.267629044,7.280211849,0.310579181,0.389908937,
BJP76_RS09040,-0.267765729,5.462273715,0.221780576,0.293581523,
BJP76_RS18370,-0.267987367,5.191867607,0.207550513,0.277403604,
BJP76_RS19590,-0.269021075,6.327511928,0.152874591,0.214505448,
BJP76_RS22020,-0.269540255,8.688663735,0.560997074,0.629852734,
BJP76_RS16105,-0.270511877,2.404728861,0.532242898,0.603264985,
BJP76_RS21835,-0.270642954,4.71480784,0.263882966,0.338526977,
BJP76_RS17900,-0.270650165,6.885609345,0.317175236,0.397025493,
BJP76_RS16545,-0.270809057,3.908186747,0.28235471,0.35889564,
BJP76_RS02675,-0.270855526,4.36277215,0.297451895,0.375964441,
BJP76_RS11780,-0.270944096,6.090789811,0.469945728,0.546249704,
BJP76_RS12755,-0.271754161,7.241376034,0.165259057,0.229104282,
BJP76_RS11605,-0.271784282,7.3044181,0.141673719,0.201296113,
BJP76_RS19955,-0.272492199,10.02560427,0.336729582,0.417107202,
BJP76_RS19935,-0.274173788,5.729954415,0.441075214,0.518463205,
BJP76_RS11315,-0.274243526,6.04602201,0.183943776,0.250864385,
BJP76_RS08595,-0.274486956,7.987371727,0.132089815,0.189566376,
BJP76_RS20085,-0.275485697,2.222035612,0.598994385,0.665359357,
BJP76_RS22705,-0.27602533,5.93393417,0.258420018,0.332320846,
BJP76_RS04395,-0.277347963,10.07248884,0.353764607,0.433571796,
BJP76_RS01810,-0.279826584,6.084922841,0.20419987,0.273865803,
BJP76_RS01510,-0.279967795,3.967261562,0.396330993,0.47633155,
BJP76_RS18105,-0.280658759,6.732440959,0.501008942,0.574556465,
BJP76_RS15860,-0.281308759,5.540078663,0.110372362,0.162094025,
BJP76_RS19690,-0.281858436,9.211155774,0.421205884,0.49963491,
BJP76_RS17000,-0.282555092,5.792535639,0.304171017,0.383099772,
BJP76_RS21405,-0.282607256,8.441475859,0.173750803,0.2392436,
BJP76_RS11390,-0.28265006,6.2020652,0.091969716,0.138439647,
BJP76_RS08960,-0.283487131,3.410596763,0.337130025,0.417366581,
BJP76_RS23625,-0.283800012,6.815113179,0.133174204,0.1908028,
BJP76_RS08520,-0.283967072,6.54520696,0.210521313,0.280675744,
BJP76_RS03195,-0.2842734,3.359831229,0.29020759,0.368227341,
BJP76_RS03705,-0.286943848,4.608795321,0.341060295,0.421379256,
BJP76_RS11065,-0.288206405,4.638274327,0.428588726,0.507267995,
BJP76_RS16130,-0.288818404,7.234368392,0.226821037,0.298959625,
BJP76_RS13785,-0.288850415,8.647625919,0.102338159,0.152015843,
BJP76_RS10400,-0.288938727,5.794178788,0.141009201,0.200485018,
BJP76_RS17190,-0.28910677,4.089515195,0.348393107,0.428758624,
BJP76_RS18180,-0.28940086,4.56174841,0.618419225,0.681104375,
BJP76_RS09000,-0.289420556,4.216751766,0.206168576,0.27598739,
BJP76_RS02230,-0.28966058,7.215886695,0.292033706,0.36981766,
BJP76_RS22465,-0.290501959,3.991360718,0.50058634,0.574456737,
BJP76_RS02805,-0.291011413,5.420262639,0.134022978,0.191893304,
BJP76_RS09965,-0.292296151,2.255866567,0.463763472,0.540237122,
BJP76_RS18680,-0.293013741,6.736998417,0.136202121,0.194425236,
BJP76_RS22230,-0.293378738,4.688030771,0.28191253,0.358440018,
BJP76_RS02345,-0.293762268,4.466607233,0.153055806,0.214689354,
BJP76_RS06735,-0.293964889,7.329887555,0.145595562,0.206047802,
BJP76_RS09145,-0.294204985,2.997410268,0.2904862,0.368465607,
BJP76_RS03545,-0.294212829,-0.555035029,0.866640113,0.894212177,
BJP76_RS06315,-0.294354566,5.83365738,0.10778786,0.159007522,
BJP76_RS09100,-0.294816581,4.45208878,0.229140021,0.301459259,
BJP76_RS07815,-0.295940939,9.29272989,0.171764067,0.236971309,
BJP76_RS05505,-0.29600894,6.297597613,0.102181687,0.151836099,
BJP76_RS11170,-0.296437582,5.281335888,0.318491915,0.397975449,
BJP76_RS19015,-0.296550616,9.041132896,0.246535147,0.320503178,
BJP76_RS12845,-0.297063871,4.774835928,0.320283512,0.399864017,
BJP76_RS10430,-0.297246316,7.559973093,0.272582537,0.347920645,
BJP76_RS09555,-0.297384488,6.725558526,0.126307826,0.182368905,
BJP76_RS11210,-0.297931381,3.495736072,0.340771262,0.421265311,
BJP76_RS10695,-0.298762997,4.220031069,0.285430481,0.362589878,
BJP76_RS09110,-0.298774593,6.377726695,0.106187798,0.157025894,
BJP76_RS20145,-0.298997401,4.209455151,0.317328614,0.397101373,
BJP76_RS24075,-0.299486427,9.56636678,0.481098448,0.556493504,
BJP76_RS05935,-0.300542072,2.061308288,0.408893236,0.488549244,
BJP76_RS02445,-0.30156491,7.920770142,0.26266915,0.337076329,
BJP76_RS10650,-0.303093811,3.544440275,0.40629959,0.485721459,
BJP76_RS20370,-0.304856601,3.978327823,0.312023063,0.391377302,
BJP76_RS11840,-0.305833146,9.460048623,0.200079739,0.269639124,
BJP76_RS05465,-0.306457175,7.455670283,0.210523199,0.280675744,
BJP76_RS06095,-0.306905227,4.705324297,0.242691938,0.316467921,
BJP76_RS13900,-0.306948787,6.009348737,0.141402885,0.200978005,
BJP76_RS11980,-0.30759896,4.129525649,0.18017065,0.246582658,
BJP76_RS09340,-0.308271342,3.832067406,0.224746333,0.296864872,
BJP76_RS05730,-0.30845966,7.602905648,0.330508408,0.411190496,
BJP76_RS08080,-0.308635309,8.527306325,0.233684401,0.306027202,
BJP76_RS01515,-0.309191382,4.449765602,0.188506399,0.256351936,
BJP76_RS05995,-0.310052356,9.997899205,0.241164716,0.314572257,
BJP76_RS06995,-0.310583689,5.331335921,0.291574468,0.369408197,
BJP76_RS11150,-0.31269631,6.868533358,0.104417605,0.154782468,
BJP76_RS23210,-0.313952757,5.800598762,0.34257395,0.423127259,
BJP76_RS06840,-0.314647557,8.228020266,0.073172738,0.113701737,
BJP76_RS24065,-0.315984672,4.834523638,0.291238015,0.369091161,
BJP76_RS08720,-0.317023598,3.558491628,0.492649212,0.567628079,
BJP76_RS04215,-0.317029597,5.713741527,0.203303723,0.272859309,
BJP76_RS11965,-0.317439621,1.449855899,0.331748464,0.412373744,
BJP76_RS00355,-0.317532931,7.167978251,0.141878128,0.201519664,
BJP76_RS02370,-0.319156872,5.26560273,0.112545348,0.164776551,
BJP76_RS20770,-0.320677289,5.739701608,0.083754939,0.128146852,
BJP76_RS00065,-0.320897245,6.240401952,0.130097236,0.187145924,
BJP76_RS01790,-0.321245042,7.754386102,0.195579627,0.264375239,
BJP76_RS14265,-0.321539233,7.835889033,0.11525559,0.168341584,
BJP76_RS10315,-0.321556909,6.800723865,0.190353395,0.258262749,
BJP76_RS00235,-0.321827103,7.017129562,0.081422568,0.124950221,
BJP76_RS15655,-0.322226757,4.430723539,0.092426686,0.139029741,
BJP76_RS00635,-0.322493711,4.760713509,0.121922587,0.176633027,
BJP76_RS07995,-0.322925184,7.13729109,0.124131691,0.179529652,
BJP76_RS22060,-0.323464646,7.722170275,0.085394564,0.130107867,
BJP76_RS16490,-0.323853235,7.984745149,0.168266599,0.232595838,
BJP76_RS02075,-0.325280182,7.835093914,0.128409246,0.185278053,
BJP76_RS01290,-0.325377821,4.884983061,0.160880065,0.223692401,
BJP76_RS21625,-0.325428641,7.692167731,0.114602609,0.167559348,
BJP76_RS15445,-0.326160553,7.769845242,0.090397416,0.136344587,
BJP76_RS05260,-0.326291802,8.857243097,0.18746745,0.255263408,
BJP76_RS00760,-0.330195544,9.119525198,0.224733379,0.296864872,
BJP76_RS24095,-0.330352033,6.926970192,0.069120313,0.108429483,
BJP76_RS11260,-0.3312567,6.997139921,0.073548604,0.114204416,
BJP76_RS08880,-0.331898028,7.240211139,0.173914058,0.2392436,
BJP76_RS01745,-0.331972887,7.731933505,0.082590617,0.126501048,
BJP76_RS23495,-0.332471872,5.584896403,0.081167015,0.124632709,
BJP76_RS09120,-0.333054942,3.236142761,0.377391455,0.457292052,
BJP76_RS00070,-0.333868819,8.821158388,0.223006012,0.294839018,
BJP76_RS19035,-0.334391076,4.369457851,0.209249831,0.279326014,
BJP76_RS03300,-0.335457273,8.464574764,0.179429863,0.245883241,
BJP76_RS15610,-0.33580207,7.410343607,0.099994398,0.149051538,
BJP76_RS02455,-0.337079824,5.079180664,0.171537634,0.236735206,
BJP76_RS16140,-0.337851214,8.63416573,0.149199223,0.210232575,
BJP76_RS09690,-0.338782733,7.841062442,0.047174376,0.077734219,
BJP76_RS06765,-0.339323224,9.013697077,0.179713144,0.246113874,
BJP76_RS20115,-0.340383713,5.25247106,0.327437958,0.4079633,
BJP76_RS19355,-0.343216735,7.147684165,0.095445952,0.142968551,
BJP76_RS18800,-0.343346526,4.439535392,0.267509563,0.342261936,
BJP76_RS09325,-0.343432447,4.426886595,0.248284533,0.322581513,
BJP76_RS19025,-0.344244947,5.712097655,0.173825148,0.2392436,
BJP76_RS01760,-0.344630177,6.679434908,0.079122453,0.121974513,
BJP76_RS15665,-0.345958447,5.046655294,0.503193462,0.576907127,
BJP76_RS18090,-0.346034525,5.432495023,0.478722164,0.554493936,
BJP76_RS03720,-0.346247026,5.312043387,0.233579228,0.305983071,
BJP76_RS17925,-0.346524136,3.17418569,0.213626322,0.28410509,
BJP76_RS24025,-0.347408295,7.133714043,0.193083608,0.261413955,
BJP76_RS23970,-0.348037081,5.08835697,0.290970752,0.368970909,
BJP76_RS06130,-0.348052291,5.72869654,0.187888285,0.255673791,
BJP76_RS11090,-0.348756315,6.487288969,0.048136173,0.079136313,
BJP76_RS12875,-0.348793216,3.711035864,0.423683026,0.502406359,
BJP76_RS06740,-0.349737744,8.1393073,0.083644074,0.128022982,
BJP76_RS00805,-0.349824451,9.588564712,0.148516825,0.209611736,
BJP76_RS07990,-0.350118165,7.171091827,0.158555165,0.221099238,
BJP76_RS13290,-0.350165978,5.728076063,0.095530284,0.143044821,
BJP76_RS02180,-0.350724131,5.804683359,0.394009063,0.474334067,
BJP76_RS00370,-0.35099598,8.313552852,0.1393716,0.198420293,
BJP76_RS10550,-0.351120084,4.759505198,0.317952141,0.397416968,
BJP76_RS07765,-0.352143803,5.923189085,0.078398837,0.120989698,
BJP76_RS16765,-0.352749818,5.971195021,0.119236232,0.173327779,
BJP76_RS01405,-0.35290794,5.626523833,0.355615541,0.435092921,
BJP76_RS01425,-0.353082841,5.555826653,0.371157161,0.450763963,
BJP76_RS18855,-0.353484404,3.412105133,0.496822478,0.570983577,
BJP76_RS20645,-0.35348718,5.866851327,0.050126085,0.081967063,
BJP76_RS01665,-0.35412459,6.065083242,0.044495474,0.073816305,
BJP76_RS02670,-0.355873153,4.643966631,0.179560842,0.245983989,
BJP76_RS17945,-0.357289394,2.846801067,0.202237484,0.272086319,
BJP76_RS18175,-0.357357606,4.677409552,0.537125576,0.607766077,
BJP76_RS18715,-0.357405961,4.877587421,0.057336848,0.092347271,
BJP76_RS01935,-0.357455659,5.147176606,0.081443047,0.124950221,
BJP76_RS16710,-0.357641381,6.195248321,0.076410146,0.11821895,
BJP76_RS21995,-0.357937492,4.289811902,0.292708504,0.370515998,
BJP76_RS03375,-0.359753027,6.719845246,0.096582673,0.144418591,
BJP76_RS13780,-0.359847109,6.584032286,0.075461916,0.117005601,
BJP76_RS13060,-0.36053726,6.470155047,0.05531508,0.089596617,
BJP76_RS13440,-0.360947655,7.753979962,0.077946375,0.120421665,
BJP76_RS14945,-0.361101769,7.269325794,0.208469832,0.2783716,
BJP76_RS17830,-0.361639455,7.722931652,0.062293389,0.099321415,
BJP76_RS19570,-0.363720836,7.268383131,0.078210197,0.120742103,
BJP76_RS16100,-0.363834936,5.101053018,0.173817916,0.2392436,
BJP76_RS10240,-0.364189473,3.897288613,0.233155558,0.305708712,
BJP76_RS07730,-0.36450308,8.131128989,0.068230969,0.107349055,
BJP76_RS20630,-0.364892843,5.593965055,0.173314116,0.238955792,
BJP76_RS05355,-0.364990283,5.498270392,0.111801133,0.163911182,
BJP76_RS04230,-0.364993491,5.454538442,0.086455322,0.131432966,
BJP76_RS09455,-0.367564646,8.342541822,0.036759644,0.062696429,
BJP76_RS01240,-0.368446207,6.406897352,0.500653605,0.574456737,
BJP76_RS03695,-0.369301838,6.608208018,0.506192209,0.579259248,
BJP76_RS04150,-0.370284028,6.440799373,0.268792749,0.343800944,
BJP76_RS06630,-0.370340261,7.480256724,0.398201432,0.47817681,
BJP76_RS01045,-0.371831663,11.21038809,0.089834161,0.135654336,
BJP76_RS20255,-0.37192464,5.409303928,0.219972781,0.29136865,
BJP76_RS03500,-0.372902543,2.415131876,0.419398073,0.498280408,
BJP76_RS19575,-0.373237626,7.460834589,0.166870964,0.230890303,
BJP76_RS19260,-0.373725406,8.411917662,0.15700804,0.219155989,
BJP76_RS02140,-0.37374862,7.513149821,0.067720752,0.10670318,
BJP76_RS01180,-0.374021324,1.643849433,0.420104223,0.498466236,
BJP76_RS09780,-0.37426094,6.979369017,0.055841614,0.09034692,
BJP76_RS21165,-0.374402845,7.919094651,0.063942931,0.101648603,
BJP76_RS17940,-0.37444868,2.061885878,0.174089514,0.239331153,
BJP76_RS17805,-0.374915222,6.516333622,0.119078549,0.173275074,
BJP76_RS03725,-0.375424999,4.049111506,0.08436667,0.128944561,
BJP76_RS21255,-0.376722048,8.106095112,0.036850736,0.062776761,
BJP76_RS15055,-0.377838615,6.773236465,0.072334453,0.11268697,
BJP76_RS16610,-0.377847346,8.108164537,0.13580692,0.193969793,
BJP76_RS02155,-0.378533478,5.015286985,0.121114191,0.175640193,
BJP76_RS09635,-0.379785605,5.022742902,0.203321933,0.272859309,
BJP76_RS13385,-0.380252363,3.151829712,0.383887517,0.463981496,
BJP76_RS01000,-0.380504606,7.50803472,0.075615513,0.117201307,
BJP76_RS02195,-0.3806703,1.242813133,0.454210272,0.531422295,
BJP76_RS00735,-0.380753,8.828629682,0.129097258,0.186145289,
BJP76_RS14155,-0.3808231,6.220384636,0.015572194,0.02936765,
BJP76_RS13695,-0.383684984,3.936743849,0.153348976,0.214959714,
BJP76_RS08405,-0.38389725,3.754694843,0.298963062,0.377651481,
BJP76_RS13140,-0.385033967,4.774762407,0.135837757,0.193969793,
BJP76_RS23335,-0.385179749,7.117571713,0.438784121,0.516875976,
BJP76_RS12985,-0.385200177,7.38373425,0.098494248,0.14707146,
BJP76_RS15520,-0.386264287,6.714551453,0.114528086,0.167507597,
BJP76_RS15455,-0.386357515,8.218254076,0.183541785,0.250475736,
BJP76_RS11635,-0.386937032,5.630385805,0.128003753,0.184755248,
BJP76_RS23920,-0.389844478,5.502366073,0.231863407,0.304294067,
BJP76_RS21280,-0.389876984,6.451286602,0.072866706,0.113392354,
BJP76_RS09115,-0.391117701,4.82460718,0.206315959,0.276098349,
BJP76_RS03365,-0.392786022,5.696592274,0.047244025,0.077819034,
BJP76_RS21040,-0.392992639,6.903016681,0.027003872,0.047868976,
BJP76_RS10530,-0.393106981,5.607027462,0.414039251,0.493183649,
BJP76_RS04945,-0.393308016,3.324247781,0.106031595,0.156903305,
BJP76_RS23705,-0.393784911,5.921524893,0.215830978,0.286325509,
BJP76_RS08090,-0.393858469,3.942237819,0.254251201,0.328439768,
BJP76_RS23140,-0.394698838,3.64364892,0.087876528,0.133120812,
BJP76_RS08825,-0.394997789,4.679468909,0.367465026,0.447671535,
BJP76_RS22535,-0.395352651,5.193946617,0.041645003,0.069777792,
BJP76_RS00920,-0.395982053,4.32488598,0.068121095,0.107255022,
BJP76_RS20745,-0.396014839,4.172166941,0.034848697,0.059818474,
BJP76_RS01945,-0.397343568,6.816828874,0.08266924,0.126576186,
BJP76_RS09180,-0.397426922,5.364959724,0.145541438,0.206039318,
BJP76_RS19960,-0.39804327,9.192044096,0.105744785,0.156532996,
BJP76_RS01320,-0.398561273,6.968106443,0.137019811,0.195462116,
BJP76_RS00360,-0.398573192,6.058256472,0.07811833,0.120643784,
BJP76_RS02840,-0.398865039,5.430403876,0.063351782,0.100783716,
BJP76_RS11195,-0.399430686,6.898989377,0.058365307,0.093791997,
BJP76_RS17720,-0.399506577,5.413382542,0.086682391,0.131591247,
BJP76_RS06760,-0.400558276,8.97105521,0.202329738,0.272117397,
BJP76_RS00015,-0.401263573,6.158539787,0.060323613,0.096504256,
BJP76_RS21655,-0.402130883,3.047969619,0.211776431,0.281907618,
BJP76_RS16475,-0.403408531,6.812220431,0.023998823,0.043095202,
BJP76_RS19270,-0.403631875,5.791327984,0.403585311,0.482746219,
BJP76_RS16025,-0.403659352,5.996765772,0.447293974,0.524476993,
BJP76_RS13700,-0.404200228,3.566427027,0.154713401,0.216588643,
BJP76_RS08020,-0.404343077,4.382544128,0.190277635,0.258262749,
BJP76_RS15600,-0.406171951,6.6827352,0.108644792,0.159980539,
BJP76_RS08955,-0.406237601,3.59697297,0.148610633,0.209621786,
BJP76_RS19945,-0.406441548,9.004351014,0.027537631,0.04863391,
BJP76_RS03655,-0.407925202,3.784318586,0.062471607,0.099531429,
BJP76_RS00930,-0.408072344,6.534411426,0.092091939,0.138574901,
BJP76_RS01315,-0.408151139,5.661181717,0.129641383,0.186638398,
BJP76_RS00380,-0.408573155,8.334463472,0.056284791,0.090892188,
BJP76_RS13985,-0.408617102,7.389018239,0.048583944,0.079841791,
BJP76_RS14195,-0.409295962,7.637233506,0.151081203,0.2123889,
BJP76_RS02570,-0.409794878,3.203742722,0.291162403,0.369091161,
BJP76_RS16690,-0.4100947,2.307752479,0.202992963,0.272588731,
BJP76_RS05605,-0.410377382,8.820749521,0.064187857,0.10188662,
BJP76_RS14370,-0.410749951,3.76340351,0.60547285,0.670641468,
BJP76_RS09575,-0.410875766,8.280247974,0.170758677,0.235812225,
BJP76_RS18875,-0.411303745,5.170879747,0.264036808,0.338526977,
BJP76_RS05690,-0.414452088,6.672211255,0.078987707,0.121854548,
BJP76_RS05795,-0.414598681,2.729735459,0.138750308,0.197798891,
BJP76_RS11125,-0.414679898,1.718260485,0.396326502,0.47633155,
BJP76_RS14475,-0.414724212,5.251375114,0.428315793,0.507085152,
BJP76_RS03475,-0.415676894,5.175082097,0.070131426,0.109632731,
BJP76_RS17105,-0.415740346,6.964033121,0.120176456,0.174575978,
BJP76_RS06850,-0.416939636,12.62552537,0.382137708,0.462258132,
BJP76_RS21800,-0.41702541,6.049348339,0.098262442,0.146776523,
BJP76_RS10975,-0.417339977,2.447096105,0.13559736,0.193816322,
BJP76_RS16830,-0.417365366,4.782461552,0.093696163,0.1407909,
BJP76_RS01270,-0.417515242,4.531758591,0.053051593,0.086355084,
BJP76_RS12285,-0.418401402,1.729511899,0.3850428,0.464875686,
BJP76_RS10570,-0.419087418,5.888083708,0.095612887,0.143118451,
BJP76_RS11085,-0.420529916,5.752764958,0.213736043,0.284162733,
BJP76_RS20640,-0.421394192,7.466540717,0.049629205,0.081340975,
BJP76_RS21220,-0.422058898,5.467019941,0.196479629,0.26534047,
BJP76_RS01120,-0.423013478,5.020151435,0.032918644,0.056893305,
BJP76_RS11725,-0.425020874,6.739324085,0.035229182,0.060350591,
BJP76_RS02125,-0.425278894,5.021660506,0.034750346,0.059697525,
BJP76_RS16070,-0.42554542,2.725404078,0.225809031,0.297992744,
BJP76_RS14780,-0.425870972,5.467661404,0.076181956,0.117951159,
BJP76_RS20420,-0.425946755,9.654220735,0.085401333,0.130107867,
BJP76_RS05595,-0.427575003,7.207524244,0.057032247,0.091960471,
BJP76_RS15645,-0.427766254,5.856536074,0.042827982,0.07142446,
BJP76_RS04100,-0.427839035,4.530504974,0.079565097,0.122524525,
BJP76_RS09655,-0.427974845,6.190271872,0.031488372,0.05484493,
BJP76_RS22145,-0.429848564,6.180797461,0.01752593,0.032635278,
BJP76_RS21150,-0.431150363,6.449929477,0.073068547,0.113623846,
BJP76_RS06290,-0.431283897,6.330585296,0.101043746,0.150406216,
BJP76_RS01705,-0.432092748,5.023868276,0.041490811,0.069573898,
BJP76_RS11910,-0.432143024,2.884158284,0.130247504,0.187299148,
BJP76_RS15215,-0.432276686,4.397497714,0.067206685,0.106166723,
BJP76_RS20225,-0.432316166,8.489912038,0.028367214,0.049954768,
BJP76_RS07595,-0.432547917,6.019166119,0.118590556,0.172623655,
BJP76_RS02400,-0.434624617,6.358577529,0.384042975,0.464038379,
BJP76_RS19870,-0.436670698,3.593171201,0.211287289,0.281431514,
BJP76_RS06955,-0.437217899,5.912198819,0.022575486,0.0408477,
BJP76_RS07175,-0.439043831,5.25116838,0.064139523,0.101847663,
BJP76_RS21705,-0.439761578,0.762319628,0.494390238,0.568641754,
BJP76_RS03190,-0.440217292,4.590168756,0.05881767,0.094379248,
BJP76_RS17140,-0.442779455,2.891202835,0.227592425,0.299791746,
BJP76_RS10435,-0.442785541,6.625651993,0.015096504,0.028609178,
BJP76_RS03760,-0.44280912,4.817340355,0.30361085,0.382506783,
BJP76_RS13555,-0.443498942,5.584093397,0.028720229,0.050512521,
BJP76_RS20755,-0.444004319,3.832349282,0.071326167,0.111278178,
