"","cntrl1_4h","cntrl2_4h","cntrl3_4h","treat1_4h","treat2_4h","treat3_4h","cntrl1_24h","cntrl2_24h","cntrl3_24h","treat1_24h","treat2_24h","treat3_24h"
"Tcas001666",807,1341,1206,1014,1310,895,1091,1205,1322,1648,1989,2051
"Tcas000734",71,105,122,56,115,109,83,68,79,106,106,104
"Tcas000845",327,353,372,338,365,466,487,318,358,246,317,273
"Tcas000867",380,470,559,348,590,502,311,296,419,226,395,422
"Tcas001011",299,401,459,311,481,270,290,328,407,260,366,367
"Tcas001077",725,550,563,655,273,679,1253,655,539,388,309,274
"Tcas001392",6,3,5,3,1,1,1,3,7,3,3,1
"Tcas000122",3,1,2,2,0,0,0,4,1,2,4,1
"Tcas001659",1,0,0,0,0,0,0,0,0,0,0,0
"Tcas001624",5,8,4,4,3,1,6,5,3,35,12,31
"Tcas000260",535,659,527,486,467,619,1255,812,984,837,936,1002
"Tcas000256",1905,3525,3635,1752,2625,2974,1882,2549,2461,1732,1901,1925
"Tcas000968",326,486,438,353,467,465,389,377,432,294,376,378
"Tcas000377",855,1238,1193,979,1234,1048,1087,1030,1143,873,1128,1141
"Tcas000914",120,169,178,131,167,144,112,98,113,78,117,149
"Tcas000503",234,476,437,314,531,385,136,218,291,122,199,248
"Tcas001150",545,734,738,525,745,733,670,579,755,456,569,599
"Tcas001193",375,607,663,445,684,391,371,452,531,320,500,560
"Tcas001148",659,947,859,699,718,771,653,708,806,533,730,700
"Tcas001609",15,38,25,31,40,29,5,25,27,4,10,16
"Tcas000673",333,518,587,387,580,545,359,471,575,434,629,670
"Tcas000246",270,381,371,275,315,172,303,288,290,252,303,326
"Tcas000449",254,333,350,249,352,384,274,298,388,236,249,305
"Tcas001257",271,194,255,262,685,379,400,281,508,318,313,350
"Tcas000139",267,342,386,246,314,122,171,256,240,435,573,544
"Tcas001035",646,840,794,566,902,685,824,800,1035,969,1338,1256
"Tcas000536",194,239,208,242,155,187,322,253,276,199,234,186
"Tcas000587",448,627,404,504,366,569,812,587,632,1000,934,915
"Tcas000345",10,18,20,8,14,19,10,10,15,5,11,6
"Tcas001614",2,7,3,4,5,7,12,5,5,4,8,8
"Tcas001413",17,30,45,12,35,27,33,26,41,27,37,30
"Tcas001660",44,32,26,21,24,32,41,20,17,16,25,30
"Tcas001636",0,3,0,2,0,0,0,0,3,1,1,0
"Tcas001034",64,98,155,101,162,129,66,84,105,73,95,103
"Tcas000603",117,177,161,139,170,148,115,131,175,111,167,158
"Tcas000515",90,133,130,109,137,127,103,105,132,90,106,140
"Tcas000575",4234,4918,5847,4879,3869,3100,4014,4149,4527,3750,3994,4123
"Tcas001243",26,36,40,24,30,32,29,24,24,33,27,31
"Tcas000361",253,308,308,253,566,391,150,202,334,152,178,202
"Tcas000644",3,4,4,4,7,7,4,5,4,1,8,4
"Tcas000911",0,0,0,0,0,0,0,0,0,0,0,0
"Tcas000784",97,110,97,97,71,99,80,82,83,78,84,96
"Tcas001329",103,173,173,86,160,160,103,110,148,105,161,159
"Tcas000181",191,371,777,224,1098,666,27,128,305,21,402,400
"Tcas000367",2,2,9,3,9,0,1,2,3,0,5,2
"Tcas000141",118,226,192,185,165,128,82,130,151,76,110,160
"Tcas000279",1630,2004,2267,1491,2290,2498,1929,1780,2063,1579,2040,1989
"Tcas001414",31,32,29,22,41,22,25,22,33,18,25,24
"Tcas001115",285,469,434,338,431,287,272,346,346,343,405,466
"Tcas001079",65,94,63,58,60,64,83,38,69,45,58,71
"Tcas001374",59,85,61,70,103,67,59,48,54,39,57,62
"Tcas001332",365,354,380,299,300,409,504,340,368,336,352,337
