"genotype1_cntrl_rep1","genotype1_cntrl_rep2","genotype1_cntrl_rep3","genotype1_treat_rep1","genotype1_treat_rep2","genotype1_treat_rep3","genotype2_cntrl_rep1","genotype2_cntrl_rep2","genotype2_cntrl_rep3","genotype2_treat_rep1","genotype2_treat_rep2","genotype2_treat_rep3","genotype3_cntrl_rep1","genotype3_cntrl_rep2","genotype3_cntrl_rep3","genotype3_treat_rep1","genotype3_treat_rep2","genotype3_treat_rep3","genotype4_cntrl_rep1","genotype4_cntrl_rep2","genotype4_cntrl_rep3","genotype4_treat_rep1","genotype4_treat_rep2","genotype4_treat_rep3","genotype5_cntrl_rep1","genotype5_cntrl_rep2","genotype5_cntrl_rep3","genotype5_treat_rep1","genotype5_treat_rep2","genotype5_treat_rep3","genotype6_cntrl_rep1","genotype6_cntrl_rep2","genotype6_cntrl_rep3","genotype6_treat_rep1","genotype6_treat_rep2","genotype6_treat_rep3"
"gene-LOC124188266",40.3552709404706,31.6199998757786,37.8485967076174,37.296601575887,38.4578824509426,30.189499488288,34.5029315990882,48.0172738270232,51.9160156188546,44.9835223401863,48.6692910355693,38.1060109223861,36.6481593461968,29.8323342188968,48.1474750379077,48.2422099472599,39.6805840981979,33.0844155224443,32.7396542692509,31.8678076128652,24.7633245258442,26.2994720886737,20.0323469686842,32.1946675614399,25.090368092807,31.9108272743228,29.9163320735873,27.6466984749208,17.5739764556645,17.3852875265778,22.7549406664922,16.3928603628833,12.1366742829621,23.3620069521439,27.6673644990824,12.5369526679889
"gene-LOC124188267",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.14047127694577,0,1.15062815667643,0,0,0,0,0,0,0,0,0
"gene-LOC124188268",0,0,2.22638804162455,1.40741892739196,0.725620423602691,1.0063166496096,0.766731813313071,0,1.57321259451075,1.95580531913853,0,2.00557952223085,0.964425245952548,0.806279303213426,1.35626690247627,0,1.28001884187735,0,0,2.36057834169371,0.495266490516885,0,2.10866810196675,0,1379.40000946591,1162.66405460359,1649.42546259567,2334.69093173739,1365.9772608721,1983.66130678252,612.487152939749,581.946542882357,152.666587033049,791.387985503875,116.538292890074,529.059402589131
"gene-LOC124188269",0.602317476723441,0,0,0,0,0,0,0,1.57321259451075,0.651935106379511,0,1.00278976111542,0.964425245952548,0,0,0,0.640009420938676,0,0.992110735431846,1.18028917084686,0.495266490516885,0,0,0.715437056920888,1308.69079029527,1260.47767733575,1472.2287264675,1949.81978717863,1296.48017216106,1633.05800832987,565.081026551223,668.464417019796,174.384846276245,689.179205088245,137.498417510591,388.645532707656
"gene-LOC124188270",248.757117886781,282.321427462309,253.808236745199,344.113927747335,290.248169441076,197.238063323481,216.985103167599,206.009594161099,182.492660963247,200.796012764889,226.368795514276,272.758815023395,267.145793128856,253.977980512229,191.233633249154,289.453259683559,247.043636482329,338.479020345007,201.398479292665,198.288580702272,193.153931301585,147.681650959476,229.844823114376,212.484805905504,122.600662271671,172.040981826784,138.075378801172,182.613718873819,162.159873659086,129.810146865114,201.001975887348,210.375041323669,286.808776476315,230.699818652421,286.734504808672,201.844937954621
"gene-LOC124188271",765.545512915494,914.72142497788,823.763575401084,948.600357062182,970.154506356798,751.718537258371,759.831226993253,760.531659647367,684.347478612175,797.968570208521,773.049436681252,872.427092170418,687.635200364167,782.090924117023,585.229168418511,827.212011742721,830.092218957463,999.531092033845,632.966649205518,627.913838890528,620.568912617657,715.143337180474,867.71692395932,759.078717393062,569.665402834413,758.229004583366,587.395673983319,857.775197419253,792.426574728143,787.553524953972,589.732212273257,604.714404497472,788.883828392536,666.79061509244,731.089146763631,648.160452935026
"gene-LOC124188272",864.927896574862,1189.70249532617,1060.8739018341,1154.08352046141,1073.91822693198,742.661687411884,828.070358378117,783.765824402379,629.285037804299,808.399531910594,792.290784299966,941.619585687382,797.579678402757,894.970026566903,648.973712834896,842.819785549188,792.331663122081,981.080167992482,609.155991555153,702.27205665388,634.931640842646,626.129739341886,796.02220849245,666.787337050267,639.234150728105,720.074754581458,643.776453660465,699.897998233521,670.207556650113,516.922549123579,604.902172717585,662.089415767564,960.713585346052,764.132310726373,752.887676368969,698.308263606982
"gene-LOC124188273",4.81853981378753,3.95249998447232,1.11319402081228,4.22225678217588,1.45124084720538,3.0189499488288,2.30019543993921,0,4.71963778353224,2.60774042551804,6.79106386542828,2.00557952223085,3.85770098381019,3.2251172128537,2.03440035371441,2.83777705572117,7.68011305126411,1.27247752009401,6.94477514802292,4.72115668338743,5.44793139568573,2.02303631451336,0,1.43087411384178,50.180736185614,35.3793954563144,48.3263825804102,27.6466984749208,49.5266609205089,47.5197859059792,0,0,0,0,0,0
"gene-LOC124188274",368.015978278023,471.476783862056,392.957489346733,512.300489570674,455.68962602249,342.147660867264,319.727166151551,328.376195204159,248.567589932698,336.398514891828,367.849292710698,390.0852170739,372.268144937684,363.631965749255,284.816049520017,391.613233689522,368.005417039739,454.274474673562,324.420210486214,305.694895249336,269.424970841185,272.098384302047,346.875902773531,314.07686798827,259.457215505163,209.501518192293,206.53775412342,221.901132496075,218.875888584185,193.556201129232,205.7425885262,204.910754536041,301.500540082006,241.407405172154,259.067140309589,218.142976423007
"gene-LOC124188275",168.648893482564,178.427142156179,193.695759621336,213.927676963578,206.801820726767,187.174896827385,150.279435409362,136.307099896066,146.308771289499,159.72410106298,159.590000837565,147.410094883967,127.304132465736,170.124932978033,136.982957150103,190.131062733318,147.202166815896,181.964285373444,108.140070162071,121.569784597226,148.579947155065,132.508878600625,183.454124871108,158.827026636437,94.0888803480262,81.858209095002,87.447739907409,106.221525719433,94.2604191712911,75.9157555327229,164.025197304298,165.750032558042,224.209088069458,222.912483001706,156.781732161467,194.322766353828
