"genotype1_cntrl_rep1","genotype1_cntrl_rep2","genotype1_cntrl_rep3","genotype1_treat_rep1","genotype1_treat_rep2","genotype1_treat_rep3","genotype2_cntrl_rep1","genotype2_cntrl_rep2","genotype2_cntrl_rep3","genotype2_treat_rep1","genotype2_treat_rep2","genotype2_treat_rep3","genotype3_cntrl_rep1","genotype3_cntrl_rep2","genotype3_cntrl_rep3","genotype3_treat_rep1","genotype3_treat_rep2","genotype3_treat_rep3","genotype4_cntrl_rep1","genotype4_cntrl_rep2","genotype4_cntrl_rep3","genotype4_treat_rep1","genotype4_treat_rep2","genotype4_treat_rep3","genotype5_cntrl_rep1","genotype5_cntrl_rep2","genotype5_cntrl_rep3","genotype5_treat_rep1","genotype5_treat_rep2","genotype5_treat_rep3","genotype6_cntrl_rep1","genotype6_cntrl_rep2","genotype6_cntrl_rep3","genotype6_treat_rep1","genotype6_treat_rep2","genotype6_treat_rep3"
"gene-LOC124188533",593.073686360523,564.300378963809,587.833076338062,499.286255219049,584.047553220901,483.229285258535,601.298710522017,663.879483268571,637.662325067161,591.577154807146,502.918662444462,550.26468038537,632.664184524084,531.385658998356,712.282698945675,516.691084135622,535.264389823422,737.191678015942,572.570691330011,493.246455237884,630.882789671372,457.373413822841,533.350838181356,449.774780263971,323.422905999617,318.736018063694,320.794649474267,334.273587641368,218.178843015777,247.842887704565,472.044627586919,445.157187491359,654.018976520121,426.848305955213,454.252255362448,478.924417195519
"gene-LOC124188534",555.596676163966,501.897493454383,467.475562191693,621.036147431301,563.312137130218,495.740075815391,491.218434776845,513.971212853088,484.914315640426,578.430995811431,497.716055591588,468.800914853457,501.972991476855,462.342510729429,593.220781526604,534.132133389145,503.486170019434,585.868004858717,424.518111513807,387.806089806597,408.535074774998,480.473081187631,457.861181084918,460.852976822197,485.541692634186,396.185891611881,396.469284734863,525.136424748899,505.674922614692,524.154215213032,460.566338770216,474.189177979926,517.432696362717,585.219585549903,534.719797740939,475.046486691912
"gene-LOC124188535",591.199835850695,514.378070556268,615.742065125625,665.715006958732,599.023131508617,527.017052207529,674.685561018799,778.095308347035,661.908040849182,626.970659795608,827.214489606926,982.17634292249,602.961640649713,870.436833533271,534.734225601445,597.355936933166,506.465378126058,577.688346850218,778.031414340252,1063.33927850196,587.798111352351,1150.36343476654,705.664185901486,615.94772863736,458.657672740011,446.826193547234,585.655872886354,414.414889410276,506.811270755399,376.788173875183,459.131552668128,811.513257942323,616.133730929016,591.25277715351,700.84633684492,461.473729929286
"gene-LOC124188536",1406.32480762582,1240.03448205159,1596.0452962888,1558.17522601918,1709.51985992074,1706.15906219114,1672.50999599923,1689.44241261895,1862.07097205924,1638.21365946594,1683.9104180468,1567.79322344435,1534.13639111122,1320.45021064325,1487.22956495402,1340.78066136459,1377.3872146291,1253.53258980242,1355.13432750137,1418.97712122783,1216.37279325663,1407.53973142787,1304.6582041667,1364.83381597343,960.492710764606,985.99646709423,1163.9087923233,1906.51938944982,1376.11759839639,1900.68701043703,2076.13548972119,2170.48690795477,1221.30068023955,1573.15471064059,1779.37097743405,1432.89532108295
"gene-LOC124188537",171.457321649251,184.534247149302,198.851545111392,125.100806676809,117.500691180536,143.874091403836,140.855406598662,126.113306857471,157.597152583139,127.416617958462,164.749217007669,95.2972351505389,163.363991309036,120.825509470624,159.793626009807,148.248918654946,145.98119722457,146.211386901914,138.988136153987,141.182862187655,142.333312303907,97.0186029321178,101.746929129982,126.291440763775,81.4667269520446,89.3652387094468,89.6579917761413,59.0514855139325,78.4080217087949,77.0322488811484,163.565615638021,168.662039981198,208.368850751075,165.912769099199,177.80731138473,139.605498129868
"gene-LOC124188538",1861.670481514,2078.90755725688,1821.06151838853,2305.42915161548,2040.13454981108,1807.80923546559,1681.97926703108,1634.71399643551,1641.43495844284,1704.95569744418,1921.4961309947,1735.33191104772,1773.2418692999,1874.02831015662,1627.17953806065,1750.64531882238,1735.88525679284,2051.04924563104,1531.89097891459,1526.20461149693,1568.74391236576,1701.67549587286,1887.24142741095,1743.70813826476,1524.24246127275,1228.27555870651,1269.19524138152,1359.2386576332,1348.84524301941,1142.08682036833,1218.13340067263,1267.73025133409,1524.38264496839,1476.62364498287,1309.5443590306,1293.28982295308
"gene-LOC124188539",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.814667269520446,0.992947096771631,0.822550383267351,0,0,0,0,0,0,0,0,0
"gene-LOC124188540",108.683329570017,142.635166878688,134.312008540151,101.644405424907,156.667588240715,98.5224756352354,137.30442996172,135.631292280676,89.7091483934789,106.180514965385,154.344003301921,135.260591826571,135.146574628384,110.962202575063,109.662292359671,119.907213617971,134.064364798074,104.290639608358,151.074061036942,125.098738647289,128.484665701365,126.278181594185,126.363121661429,95.2724904007427,318.534902382494,284.975816773458,285.424982993771,256.241267497957,249.996590955578,248.680194757621,618.392809999885,671.883208449692,203.383950015403,475.113838784071,530.826206980689,449.839938418464
"gene-LOC124188541",775.774111068741,297.750910859261,650.62830111008,457.958310156175,633.582158326421,789.74365390149,776.480224611109,825.685235463062,1141.9732133332,831.241745729015,1128.9656870736,439.596923436357,1067.80645228361,580.702193476162,1287.74863313786,961.437840100461,944.408969799767,429.43204544618,1475.99357633092,1553.01148406421,1369.47727514029,1118.02390045583,1186.50048001575,1187.58267104182,433.402987384877,563.001003869515,445.822307730904,228.824506366488,402.267241810339,441.260816960492,724.56698155439,569.580003870932,943.143219189076,790.348100072549,673.591201523173,760.074378707059
"gene-LOC124188542",11.2431030589673,7.1317583439344,6.97724719689094,8.93577190548634,10.3677080453414,4.69154645882073,4.7346355159214,0,4.84914315640426,10.1124299967033,0,4.6111565395422,7.42563596859253,1.23291336194514,3.13320835313347,4.36026231338077,6.95148558212237,7.15720075743633,4.53222183110826,10.7227490269105,2.30810776709038,3.07995564863866,3.28215900419296,6.64691793493554,17.9226799294498,21.8448361289759,15.6284572820797,11.5993989402367,17.0452221106076,10.0476846366715,4.3043583062637,4.14742721265242,4.98490073567165,4.52489370270543,10.3829086939988,3.87793050360744
"gene-LOC124188543",218.303584394948,193.44894507922,146.52219113471,195.470010432514,201.594323103861,167.331823697939,190.569079515836,157.046759482888,174.569153630554,237.642104922529,197.699060409202,222.872566077873,194.551662377124,172.60787067232,194.258917894275,194.031672945444,239.329717898784,205.513907463529,135.966654933248,91.1433667287395,148.488266349481,152.457804607614,124.722042159332,137.369637322001,46.4360343626654,29.7884129031489,44.417720696437,46.3975957609469,43.1812293468725,31.8176680161265,4.3043583062637,2.76495147510161,3.98792058853732,6.03319160360725,7.78718152049911,1.93896525180372
"gene-LOC124188544",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene-LOC124188545",0,0,0,0,0,0,0,0,0,0,0,0,1.48512719371851,0,0,0,1.98613873774925,0,0,0,0,0,0,0,42.3626980150632,36.7390425805503,30.434364180892,31.6347243824638,37.4994886433367,38.5161244405742,0,0,0,0,0,0
"gene-LOC124188546",0.936925254913939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156.416115747926,162.843323870547,183.428735468619,175.0454749163,179.543006231733,192.580622202871,0,0,0,1.50829790090181,0,0
"gene-LOC124188547",642.730724870962,575.889486272702,690.747472492203,535.029342840995,542.576721039536,811.637537375987,756.358023668443,694.812935893989,836.477194479735,700.791398771542,754.377993666693,600.987402320334,629.693930136646,594.264240457559,717.504712867565,586.455281149714,598.820829431398,526.565484297102,762.924008236558,738.082558019008,818.60888806139,683.750153997782,669.560436855363,617.055548293182,645.216477460193,526.261961288964,676.136415045763,524.081933936151,469.311782112062,566.856874918886,631.305884918676,680.178062874996,636.073333871703,726.999588234673,613.88947653268,715.478177915573
"gene-LOC124188548",842.295804167631,1021.6243827686,1062.28588572665,1104.68480181575,1072.48179891254,761.594375148566,942.192467668358,961.316527743738,775.862905024682,932.366045696049,811.606669048304,1028.28790831791,778.206649508497,904.958407667735,704.971879455031,797.928003348682,901.706986938159,1198.31989824505,693.429940159564,688.043062560092,773.985471230975,666.81039793027,894.388328642581,837.511659801877,307.944227878729,502.431230966445,463.918416162786,523.027443123402,434.08498975014,487.31270487857,549.523077099666,532.25315895706,667.976698580001,517.346180009321,582.740750450683,546.78820100865
"gene-LOC124188549",175.205022668907,126.588710604836,184.89705071761,146.323264952339,194.6825177403,207.991893007719,183.467126241954,204.636686598914,210.937727303585,198.203627935386,195.964858124911,218.261409538331,179.700390439939,187.402831015662,202.614140169298,176.590623691921,195.634665668301,173.817732680597,199.417760568764,201.945106673482,183.109882855837,192.497228039916,214.981414774639,199.407538048066,214.257491883877,200.575313547869,191.654239301293,199.298763609522,186.361095075976,202.628306839543,182.217834965163,286.172477673017,230.30241398803,250.377451549701,242.700490722222,226.858934461036
"gene-LOC124188550",67.4586183538036,48.1393688215572,48.8407303782366,33.5091446455738,59.9023131508617,79.7562897999525,100.61100471333,49.969423471828,60.6142894550533,74.8319819756048,62.431282234485,52.2597741148116,54.9497061675847,60.412754735312,85.6410283189815,47.9628854471885,47.667329705982,77.7067510807373,51.3651807525603,71.4849935127368,106.942326541854,55.4392016754959,60.7199415775697,88.6255724658071,93.6867359948513,88.3722916126752,80.6099375602004,83.3047742071547,62.4991477388945,69.4964854036448,86.087166125274,40.0917963889734,101.691975007702,93.5144698559123,51.914543469994,91.131366834775
"gene-LOC124188551",1122.4364553869,684.648801017702,1264.62605443648,1123.67331711491,1270.62021933462,1407.46393764622,1481.9409164834,1922.63305548748,2191.81270669473,1354.05437655858,1942.3065584062,1882.88892031307,1390.07905332052,2100.88436875452,1788.01756685483,1162.00990651598,850.067379756678,1094.0292586367,1779.65243901518,1871.11970519589,1422.56375378337,2049.71048416903,1312.86360167718,1258.48312901446,1476.99175964057,954.222159997537,1739.69406061045,1461.52426646983,1124.9846593001,1199.02369997614,2886.78963740086,3612.40910222026,864.381787565464,2021.11918720843,1621.03161985056,1237.05983065077
"gene-LOC124188552",369.148550436092,290.619152515327,383.748595829002,197.703953408885,320.246981844991,315.897461560596,420.198902038024,359.303949726001,463.093171436607,363.03623688165,256.661938075105,279.743496732227,384.647943173093,395.765189184391,462.670433479376,285.597181526441,286.003978235892,277.085915037892,368.620708930139,386.018964968779,373.144089012945,318.775409634101,305.240787389945,330.130257435132,206.110819188673,240.293197418735,225.378805015254,258.350249123455,188.633791357391,212.675991476214,457.69676656604,523.958304531755,446.64710591618,413.273624847096,438.67789232145,420.755459641408
"gene-LOC124188553",0.936925254913939,0.891469792991799,0,1.11697148818579,0,0,0,0,0,1.01124299967033,0,0,0,0,0,0,0,0,0,1.78712483781842,0,0,0,0,0.814667269520446,6.95062967740142,0.822550383267351,3.16347243824638,4.54539256282869,0,20.0870054292306,9.67733016285564,16.9486625012836,10.5580853063127,447.762937428699,7.75586100721489
"gene-LOC124188554",872.277412324877,1223.09655598475,1065.77450932509,1267.76263909087,1279.83595981937,1008.68248864646,790.684131158873,804.26976826085,625.53946717615,913.152428702312,863.632737577042,989.861603821727,824.245592513771,832.216519312971,673.639795923696,987.599413980745,892.769362618287,1256.59996155561,758.39178640545,786.334928640105,788.603487089215,780.7687569299,1042.08548383126,870.746249476555,536.865730613974,628.535512256442,534.657749123778,776.105238183112,640.900351358845,623.793754526691,526.56649946626,634.55636353582,830.484462562897,683.258949108521,691.761291737671,630.16370683621
"gene-LOC124188555",262.339071375903,320.929125477048,296.533005867865,330.623560502995,271.864344300064,275.237392250816,159.793948662347,197.49819753151,118.804007331904,152.697692950221,149.141396449047,195.20562684062,246.531114157272,318.091647381847,253.789876603811,305.218361936654,271.107937702772,339.455807352695,228.121832165783,241.261853105487,261.58554693691,214.056917580387,285.547833364787,261.445438774131,212.628157344836,162.843323870547,164.51007665347,144.465241346585,176.133961809612,130.61990027673,87.5219522273619,102.30320457876,135.589300010269,140.271704783868,103.829086939988,85.3144710793638
"gene-LOC124188556",0,0.891469792991799,0,0,0,0,0,2.37949635580133,0,0,0,0,0,0,1.04440278437782,2.18013115669039,0,1.02245725106233,0,0,0,0,0,1.10781965582259,0.814667269520446,0.992947096771631,0,2.10898162549759,4.54539256282869,0,1.4347861020879,1.38247573755081,0.99698014713433,4.52489370270543,0,0
"gene-LOC124188557",0.936925254913939,2.6744093789754,6.97724719689094,3.35091446455738,2.30393512118699,1.56384881960691,1.18365887898035,9.51798542320532,2.42457157820213,10.1124299967033,1.73420228429125,3.0741043596948,1.48512719371851,0,2.08880556875565,0,0.993069368874624,2.04491450212467,1.51074061036942,0,5.38558478987756,18.479733891832,1.64107950209648,15.5094751815162,4.07333634760223,3.97178838708652,1.6451007665347,4.21796325099518,4.54539256282869,3.34922821222385,0,1.38247573755081,0,0,0,5.81689575541117
"gene-LOC124188558",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.70267088664312,2.97884129031489,1.6451007665347,4.21796325099518,3.40904442212152,5.02384231833577,1.4347861020879,0,0,0,2.5957271734997,0
"gene-LOC124188559",7.49540203931151,7.1317583439344,1.74431179922273,4.46788595274317,5.75983780296747,10.9469417372484,5.91829439490174,7.13848906740399,4.84914315640426,4.04497199868134,8.67101142145624,7.68526089923701,5.94050877487402,3.69874008583543,3.13320835313347,4.36026231338077,7.94455495099699,2.04491450212467,13.5966654933248,8.9356241890921,3.84684627848397,7.69988912159665,0,1.10781965582259,33.4013580503383,32.7672541934638,21.3863099649511,21.0898162549759,26.136007236265,16.7461410611192,1.4347861020879,1.38247573755081,0.99698014713433,9.04978740541087,2.5957271734997,1.93896525180372
"gene-LOC124188560",453.471823378346,514.378070556268,516.316292569929,539.497228793738,509.169661782324,508.250866372246,588.278462853233,487.796752939273,543.104033517277,541.015004823629,504.652864728753,556.412889104759,452.963794084144,425.355109871074,467.892447401265,477.448723315195,464.756464633324,577.688346850218,451.711442500457,446.781209454605,526.248570896608,482.01305901195,477.554135110075,520.675238236617,422.812312881112,429.946092902116,392.356532818526,441.831650541745,443.175774875797,424.514675899372,434.740188932634,472.806702242376,560.302842689494,511.312988405714,534.719797740939,482.802347699127
"gene-LOC124188561",0.936925254913939,0,0,1.11697148818579,0,0,2.3673177579607,2.37949635580133,0,0,0,0,0,0,2.08880556875565,0,1.98613873774925,0,0,0,2.30810776709038,1.53997782431933,1.64107950209648,2.21563931164518,4.88800361712268,4.96473548385816,4.93530229960411,9.49041731473915,4.54539256282869,7.53576347750365,1.4347861020879,2.76495147510161,0.99698014713433,0,3.89359076024955,5.81689575541117
"gene-LOC124188562",2.81077576474182,2.6744093789754,1.74431179922273,5.58485744092896,1.15196756059349,3.12769763921382,1.18365887898035,4.75899271160266,7.2737147346064,4.04497199868134,1.73420228429125,1.5370521798474,0,3.69874008583543,5.22201392188912,2.18013115669039,3.9722774754985,5.11228625531167,0,3.57424967563684,1.53873851139359,6.15991129727732,1.64107950209648,3.32345896746777,10.5906745037658,6.95062967740142,4.93530229960411,15.8173621912319,10.2271332663646,20.0953692733431,4.3043583062637,1.38247573755081,5.98188088280598,3.01659580180362,2.5957271734997,1.93896525180372
"gene-LOC124188563",82.4494224324266,82.9066907482373,97.6814607564731,78.1880041730055,81.789696802138,73.5008945215248,74.570509375762,73.7643870298413,111.530292597298,74.8319819756048,53.7602708130287,70.7044002729805,60.8902149424587,81.3722818883794,111.751097928427,56.6834100739501,93.3485206742147,143.144015148727,64.9618462458851,66.1236189992816,92.3243106836154,70.8389799186892,96.8236906236923,96.3803100565653,34.2160253198587,84.4005032255886,83.9001390932698,81.1957925816571,76.1353254273805,111.361838056443,61.6958023897797,107.833107528963,82.7493522121494,64.8568097387779,110.318404873737,120.215845611831
"gene-LOC124188564",148.971115531316,182.751307563319,158.732373729269,118.398977747694,105.981015574601,93.8309291764147,200.038350547679,216.534168377921,167.295438895947,146.630234952199,150.875598733339,190.594470301078,155.938355340443,125.757162918405,129.50594526285,98.1059020510674,115.196046789456,84.8639518381736,128.412951881401,146.544236701111,117.71349612161,55.4392016754959,105.029088134175,70.9004579726457,180.856133833539,203.554154838184,169.445378953074,147.628713784831,162.497784121126,154.064497762297,357.261739419887,387.093206514226,413.746761060747,340.875325603809,433.48643797445,314.112370792203
"gene-LOC124188565",51.5308890202666,57.0540667514752,45.3521067797911,45.7958310156175,43.7747673025528,46.9154645882073,50.897331796155,49.969423471828,60.6142894550533,42.4722059861541,50.2918662444462,33.8151479566428,54.9497061675847,40.6861409441897,56.3977503564025,41.4224919771173,46.6742603371073,41.9207472935557,69.4940680769934,53.6137451345526,51.5477401316852,58.5191573241345,37.744828548219,44.3127862329036,69.2467179092379,99.2947096771631,87.1903406263392,63.2694487649276,65.908192161016,55.2622655016935,133.435107494175,99.538253103658,127.613458833194,110.105746765832,103.829086939988,77.5586100721489
"gene-LOC124188566",449.724122358691,606.199459234424,549.458216755161,643.375577195017,618.606580038706,400.345297819369,417.831584280063,437.827329467445,385.506880934139,520.790144830222,485.57663960155,502.6160628101,448.508412502989,494.398258140002,364.49657174786,433.846100181387,396.234678180975,631.878581156522,418.47514907233,387.806089806597,431.616152445902,394.234323025748,507.093566147812,468.607714412955,303.056224261606,419.023674837628,382.485928219318,399.652018031793,346.586182915688,275.474020455411,507.914280139117,604.141897309702,707.855904465374,589.744479252608,624.272385226678,519.642687483398
"gene-LOC124188567",27.1708323925042,23.1782146177868,27.9089887875638,35.7430876219454,33.4070592572113,26.5854299333175,31.9587897324694,33.3129489812186,41.2177168294362,32.3597759894507,24.2788319800775,43.0374610357272,29.7025438743701,17.260787067232,46.998125297002,21.8013115669039,58.5910927636028,61.34743506374,40.7899964799744,37.5296215941868,31.5441394835686,33.8795121350253,45.9502260587014,64.2535400377102,19.5520144684907,31.7743070966922,41.9500695466349,40.0706508844542,19.3179183920219,42.702659705854,48.7827274709886,49.769126551829,54.8339080923882,42.2323412252507,54.5102706434937,75.6196448203452
"gene-LOC124188568",507.813488163355,460.88988297676,467.475562191693,376.419391518612,403.188646207723,492.612378176177,518.442588993393,575.838118103922,603.718322972331,429.778274859892,532.400101277413,433.448714716967,516.82426341404,464.808337453319,547.267059013979,394.60373936096,507.458447494933,396.713413412185,580.124394381858,604.048195182626,479.317046299103,403.474189971664,425.039591042988,473.038993036246,286.762878871197,347.531483870071,356.98686633803,303.693354071653,317.041131257301,418.653526527981,576.784013039336,588.934664196643,416.73770150215,505.279796802107,462.039436882947,496.375104461753
"gene-LOC124188569",4.68462627456969,3.5658791719672,1.74431179922273,6.70182892911476,4.60787024237397,0,7.10195327388209,7.13848906740399,9.69828631280853,5.05621499835167,10.4052137057475,10.7593652589318,10.3958903560295,18.4937004291771,6.26641670626694,4.36026231338077,3.9722774754985,7.15720075743633,4.53222183110826,7.14849935127368,4.61621553418077,23.0996673647899,11.4875565146754,7.75473759075812,2.44400180856134,6.95062967740142,5.75785268287146,10.5449081274879,3.40904442212152,1.67461410611192,8.6087166125274,11.0598059004064,9.9698014713433,4.52489370270543,5.1914543469994,1.93896525180372
"gene-LOC124188570",490.948833574904,476.936339250613,453.521067797911,502.637169683607,448.115381070869,475.410041160501,463.994280560297,423.550351332637,489.763458796831,483.37415384242,431.816368788521,439.596923436357,415.835614241182,456.177943919703,492.958114226333,483.989116785266,415.102996189593,515.318454535416,439.625517617502,387.806089806597,469.315245975045,434.273746458051,441.450386063953,429.834026459165,356.824264049955,323.700753547552,290.360285293375,314.238262199141,263.632768644064,290.545547410419,384.522675359557,411.97776979014,570.272644160837,402.715539540784,414.018484173203,457.595799425678
"gene-LOC124188571",243.600566277624,294.185031687294,226.760533898955,260.25435674729,247.673025527601,258.03505523514,106.529299108231,88.0413651646492,96.9828631280853,104.158028966044,145.672991880465,99.9083916900811,201.977298345717,212.061098254565,204.702945738053,215.832984512348,217.482191783543,253.569398263459,194.885538737655,176.925358944024,200.036006481167,218.676851053345,192.006301745288,223.779570476163,319.349569652015,292.919393547631,256.635719579414,241.478396119474,293.17782030245,272.124792243187,246.783209559119,276.495147510161,286.133302227553,348.416815108318,266.062035283719,265.63823949711
"gene-LOC124188572",702.693941185454,878.989215889914,689.00316069298,860.06804590306,831.720578748502,795.999049179918,611.95164043284,535.3866800553,494.612601953235,611.802014800552,780.391027931062,794.655976981107,686.12876349795,724.953056823744,581.732350898448,715.083019394447,730.899055491723,782.179797062685,498.544401421909,641.577816776813,555.484602613086,619.071085376371,617.045892788276,598.222614144198,369.858940362283,314.764229676607,310.924044875059,402.815490470039,353.404271759931,334.922821222385,304.174653642635,337.324079962397,476.55651033021,417.798518549802,393.252666785205,381.976154605333
"gene-LOC124188573",3234.26597996292,2768.90517703253,3063.01151943512,2588.02293812648,2814.2567505299,2439.60415858678,3466.93685653344,3538.31108107658,3399.24935263939,3126.76335498068,2767.78684572883,2838.93537617815,3041.5404927355,2463.3608971664,3043.38971367698,2760.04604437003,2772.64967789795,3069.41666768912,3161.9800975032,2814.72161956401,3039.77792925804,2425.46507330294,2535.46783073906,2792.81335232875,1498.1731086481,1874.68411870484,1978.23367175798,1887.53855482034,1656.79558915106,1637.77259577746,3318.66025412931,3089.83327342605,3028.8256869941,2959.28048156935,3083.72388211765,2933.65442597903
"gene-LOC124188574",367.274699926264,392.246708916392,341.885112647656,454.607395691618,380.149294995853,334.663647395879,321.955215082655,237.949635580133,271.552016758639,319.552787895826,284.409174623765,342.762636105971,305.936201906012,314.392907296011,223.502195856854,357.541509697223,345.588140368369,395.690956161123,223.589610334674,234.113353754213,266.971131726788,291.055808796353,321.65158241091,292.464389137164,221.589497309561,262.138033547711,217.153301182581,277.331083752933,303.404953568815,239.469817174005,248.217995661207,255.758011446899,337.976269878538,303.167878081264,304.997942886215,259.821343741699
"gene-LOC124188575",255.780594591505,283.487394171392,261.64676988341,317.219902644765,283.384019905999,242.396567039071,218.976892611365,245.088124647537,167.295438895947,249.777020918573,268.801354065144,250.539505315126,231.679842220087,239.185192217358,203.658542953676,228.913771452491,220.461399890167,283.220658544266,267.401088035388,348.489343374592,266.971131726788,294.135764444992,298.676469381559,294.680028448809,177.597464755457,157.878588386689,136.54336362238,159.228112725068,192.042835779512,153.227190709241,193.696123781867,182.486797356706,190.423208102657,215.686599828959,171.31799345098,186.140664173157
"gene-LOC124188576",351.346970592727,146.201046050655,221.527598501287,298.231387345607,237.30531748226,176.714916615581,326.689850598576,347.406467946994,487.338887218628,402.474713868793,326.030029446755,212.113200818941,270.293149256768,184.937004291771,535.778628385823,224.55350913911,413.116857451844,370.129524884565,246.250719490216,175.138234106205,163.10628220772,174.017494148084,113.234485644657,238.181226001857,49.6947034407472,34.7531483870071,40.3049687801002,43.2341233227006,26.136007236265,50.2384231833577,347.218236705272,262.670390134653,273.172560314806,313.725963387577,354.316759182709,416.8775291378
"gene-LOC124188577",430.985617260412,468.913111113687,437.822261604906,492.584426289935,445.811445949682,383.142960803693,338.52643938838,352.165460658597,334.590877791894,358.991264882969,319.09322030959,385.800097141698,436.627394953241,394.532275822446,348.830529982193,488.349379098647,439.929730411458,520.430740790728,345.959599774598,327.043845320771,311.594548557202,298.75569791795,380.730444486383,354.502289863229,170.265459329773,260.152139354167,193.299340067828,206.680199298764,261.36007236265,216.862526741494,229.565776334064,259.905438659552,351.933991938419,248.869153648799,256.976990176471,261.760308993503
"gene-LOC124188578",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene-LOC124188579",571.524405497503,695.346438533604,617.486376924848,736.084210714437,703.852179522625,595.826400270233,621.420911464683,640.084519710558,482.489744062224,602.700827803519,546.273719551743,654.784228614993,522.764772188914,560.97557968504,443.871183360575,606.076461559927,535.264389823422,681.978986458576,486.458476538954,475.3752068597,600.877388699197,569.791794998152,666.278277851171,549.478549288004,355.194929510915,415.051886450542,366.857470937239,526.190915561648,440.903078594383,440.423509907436,539.479574385051,555.755246495424,689.910261816956,625.943628874252,587.932204797683,585.567506044724
"gene-LOC124188580",575.272106517158,599.067700890489,528.526475164489,617.685232966743,630.126255644641,530.144749846743,635.624818012447,623.428045219949,514.009174578852,600.678341804179,624.31282234485,667.080646053772,515.339136220322,549.879359427534,511.757364345133,510.15069066555,558.104985307539,658.462469684143,581.635134992227,602.261070344808,591.644957630835,628.310952322287,626.892369800855,612.624269669892,717.721864447513,822.16019612691,691.764872327842,784.541164685103,820.443357590578,699.988696354784,751.82791749406,801.835927779467,851.421045652718,907.99533634289,828.036968346405,866.717467556264
"gene-LOC124188581",12883.6591803216,14169.9123596047,10584.4839976836,8930.18704804541,8758.40936319233,7841.13798150905,9772.28770486176,9817.80196403629,9269.13714346675,9733.21387182697,9827.72434507851,9835.59689884352,13559.21127865,11223.2103337866,11896.7921168478,11399.905818334,11242.5383250296,11686.6863796425,11770.1800953882,11396.4950907681,10844.2596590463,10396.3902919798,7872.25837155681,8379.54787664207,16555.6682511945,16356.8175251191,13971.8408101792,11057.3906624839,13363.4541347163,9441.47433025902,5743.44876665787,5408.24508529875,9125.35928672052,4509.81072369642,4160.95065912002,4517.78903670267
"gene-LOC124188582",51.5308890202666,49.030838614549,57.5622893743502,65.9013178029618,63.3582158326421,60.9901039646695,56.8156261910567,47.5899271160266,50.9160031422448,64.7195519789014,67.6338890873587,46.111565395422,54.9497061675847,43.15196766808,79.3746116127146,45.7827542904981,58.5910927636028,46.010576297805,84.6014741806876,82.2077425396474,76.9369255696795,90.8586916348405,91.9004521174028,87.5177528099845,232.180171813327,357.460954837787,341.358409055951,247.805340995967,239.769457689213,201.790999786487,83.2175939210982,69.1237868775403,76.7674713293434,61.8402139369743,83.0632695519905,52.3520617987005
"gene-LOC124188583",232.357463218657,236.239495142827,228.504845698178,266.956185676404,251.128928209382,237.70502058025,253.303000101795,197.49819753151,210.937727303585,279.103067909012,280.940770055182,250.539505315126,193.066535183406,208.362358168729,214.102570797454,268.156132272918,216.489122414668,238.232539497524,228.121832165783,203.7322315113,251.583746612852,277.196008377479,298.676469381559,244.828143936792,138.493435818476,139.012593548028,153.816921670995,205.625708486015,162.497784121126,188.394086937591,152.087326821317,219.813642270578,212.356771339612,196.078727117235,171.31799345098,174.506872662335
"gene-LOC124188584",104.935628550361,90.0384490921717,109.891643351032,121.749892212251,104.829048014008,82.8839874391663,82.8561215286244,109.456832366861,63.0388610332554,119.3266739611,124.86256446897,106.056600409471,72.7712324922068,88.7697620600503,85.6410283189815,85.0251151109251,127.112879215952,94.0660670977346,93.6659178429041,91.1433667287395,87.7080951494346,95.4786251077985,86.9772136111134,108.566326270614,253.361520820859,302.848864515347,361.922168637634,351.145440645348,344.313486634273,378.462787981295,377.348744849118,406.447866839937,395.801118412329,417.798518549802,378.976167330957,405.243737626978
"gene-LOC124188585",9.36925254913939,12.4805771018852,20.9317415906728,22.3394297637159,6.91180536356096,15.6384881960691,7.10195327388209,9.51798542320532,4.84914315640426,11.1236729963737,15.6078205586212,10.7593652589318,5.94050877487402,11.0962202575063,11.4884306281561,10.9006557834519,5.95841621324774,9.202115259561,6.04296244147769,7.14849935127368,7.69369255696795,9.23986694591598,16.4107950209648,8.86255724658071,68.4320506397175,69.5062967740142,87.1903406263392,72.7598660796668,84.0897624123307,82.8933982525402,114.782888167032,80.1835927779467,116.646677214717,119.155534171243,115.509859220737,120.215845611831
