"genotype1_cntrl_rep1","genotype1_cntrl_rep2","genotype1_cntrl_rep3","genotype1_treat_rep1","genotype1_treat_rep2","genotype1_treat_rep3","genotype2_cntrl_rep1","genotype2_cntrl_rep2","genotype2_cntrl_rep3","genotype2_treat_rep1","genotype2_treat_rep2","genotype2_treat_rep3","genotype3_cntrl_rep1","genotype3_cntrl_rep2","genotype3_cntrl_rep3","genotype3_treat_rep1","genotype3_treat_rep2","genotype3_treat_rep3","genotype4_cntrl_rep1","genotype4_cntrl_rep2","genotype4_cntrl_rep3","genotype4_treat_rep1","genotype4_treat_rep2","genotype4_treat_rep3","genotype5_cntrl_rep1","genotype5_cntrl_rep2","genotype5_cntrl_rep3","genotype5_treat_rep1","genotype5_treat_rep2","genotype5_treat_rep3","genotype6_cntrl_rep1","genotype6_cntrl_rep2","genotype6_cntrl_rep3","genotype6_treat_rep1","genotype6_treat_rep2","genotype6_treat_rep3"
"gene-LOC124188274",572.461330752417,744.377277148153,615.742065125625,813.155243399257,723.435628052714,531.70859866635,493.585752534805,504.453227429882,383.082309355937,521.801387829893,563.615742394656,597.913297960639,573.259096775343,556.043926237259,438.649169438686,601.716199246547,571.014887102909,730.034477258506,494.012179590801,462.865332994971,418.536875099056,414.2540347419,539.915156189742,486.332828906117,370.673607631803,299.870023225033,295.295587592979,321.619697888382,311.359390553765,279.660555720691,311.348584153074,311.057040948931,470.574629447404,374.057879423649,401.039848305704,337.379953813848
"gene-LOC124188275",262.339071375903,281.704454585409,303.510253064756,339.559332408481,328.310754769146,290.875880446885,231.997140280148,209.395679310517,225.485156772798,247.754534919232,244.522522085066,225.946670437568,196.036789570843,260.144719370425,210.96936244432,292.137574996512,228.405954841164,292.422773803827,164.670726530267,184.073858295297,230.810776709038,201.737094985832,285.547833364787,245.935963592615,134.420099470874,117.167757419052,125.027658256637,153.955658661324,134.089080603446,109.687223950331,248.217995661207,251.610584234247,349.94003164415,345.400219306515,242.700490722222,300.539614029577
"gene-LOC124188276",18.7385050982788,10.6976375159016,19.1874297914501,10.0527433936721,11.5196756059349,12.5107905568553,8.28561215286244,19.0359708464106,7.2737147346064,11.1236729963737,5.20260685287375,3.0741043596948,25.2471622932146,18.4937004291771,7.31081949064476,6.54039347007116,10.9237630576209,18.404230519122,13.5966654933248,8.9356241890921,13.8486466025423,13.859800418874,13.1286360167718,21.0485734606292,7.33200542568401,9.92947096771631,12.3382557490103,13.7083805657343,13.6361776884861,12.5596057958394,18.6522193271427,37.3268449138718,44.8641066210449,30.1659580180362,29.8508624952466,44.5962007914856
"gene-LOC124188277",194.880453022099,169.379260668442,167.453932725383,227.862183589902,231.545479679292,200.172648909685,192.936397273797,190.359708464106,167.295438895947,204.271085933408,216.775285536406,210.576148639094,182.670644827376,166.443303862594,183.814890050497,237.634296079252,227.412885472289,202.446535710342,191.864057516917,150.118486376747,150.027004860875,220.216828877664,173.954427222227,202.730997015534,172.709461138335,187.667001289838,155.462022437529,191.917327920281,213.633450452948,191.743315149815,228.130990231976,186.634224569359,223.32355295809,236.802770441584,227.126127681224,238.492725971858
"gene-LOC124188278",382.265504004887,549.145392482948,448.288132400243,521.625684982765,491.890148373422,401.909146638976,363.383275846967,352.165460658597,295.79773254066,416.632115864178,433.550571072812,491.856697551169,389.103324754249,379.737315479104,346.741724413437,457.827542904981,403.186163763097,461.128220229112,290.062197190929,271.6429753484,296.976532698963,298.75569791795,352.832092950743,342.31627364918,430.958985576316,367.390425805503,345.471160972287,344.818495768856,496.584137489034,417.816219474925,330.000803480217,338.706555699947,482.538391213016,417.798518549802,424.401392867201,381.976154605333
"gene-LOC124188279",66.5216930988897,76.6664021972947,73.2610955673549,84.8898331021202,87.5495346051055,67.2454992430972,68.6522149808602,40.4514380486226,75.1617189242661,72.8094959762641,81.5075073616887,43.0374610357272,38.6133070366812,61.6456680972571,49.0869308657577,80.6648527975443,63.5564396079759,90.9986953445476,37.7685152592355,64.3364941614632,60.7801712000468,55.4392016754959,80.4128956027275,75.3317365959361,37.4746943979405,36.7390425805503,41.1275191633676,52.7245406374397,45.4539256282869,44.377273811966,33.0000803480217,41.4742721265242,38.8822257382389,37.7074475225453,28.5529989084967,44.5962007914856
"gene-LOC124188280",4.68462627456969,2.6744093789754,1.74431179922273,1.11697148818579,5.75983780296747,1.56384881960691,4.7346355159214,2.37949635580133,0,3.033728999011,3.4684045685825,0,2.97025438743701,8.630393533616,0,8.72052462676155,2.97920810662387,6.134743506374,6.04296244147769,3.57424967563684,0.769369255696795,6.15991129727732,4.92323850628944,5.53909827911295,22.8106835465725,18.865994838661,18.9186588151491,20.0353254422271,19.3179183920219,19.2580622202871,2.8695722041758,8.29485442530484,9.9698014713433,15.0829790090181,12.9786358674985,3.87793050360744
"gene-LOC124188281",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene-LOC124188282",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.07333634760223,3.97178838708652,0.822550383267351,2.10898162549759,2.27269628141434,1.67461410611192,0,0,0,0,0,0
"gene-LOC124188283",586.515209576126,613.331217578358,697.724719689094,661.247121005989,685.420698553129,656.816504234903,699.542397477386,870.895666223287,729.796045038842,749.331062755718,473.437223611511,607.135611039724,513.854009026603,726.185970185689,463.714836263754,492.709641412027,580.945580791655,688.11372996495,536.312916681145,723.785559316461,629.344051159978,612.911174079093,864.848897604844,746.670448024425,178.412132024978,331.644330321725,316.68189755793,377.507710964068,273.859901910429,324.037829532657,583.957943549776,541.930489119916,664.985758138598,565.611712838179,686.569837390671,606.896123814565
