LOC124194344	GO:0004559,GO:0046872,GO:0006013,GO:0009313,GO:0030246
LOC124195048	GO:0035250,GO:0006486,GO:0006024,GO:0016021,GO:0000139
LOC124194762	GO:0006406,GO:0005524,GO:0003723,GO:0003724,GO:0000398,GO:0016787
LOC124195126	GO:0005634
LOC124194981	GO:0005737,GO:0005524,GO:0005525,GO:0016787,GO:0043022,GO:0043023
LOC124194835	GO:0005737,GO:0005524,GO:0005525,GO:0016787,GO:0043022,GO:0043023
LOC124194482	GO:0007165
LOC124194274	GO:0003723
LOC124192133	GO:0003735,GO:0002181,GO:0022625,GO:0019843
LOC124192088	GO:0005768,GO:0006464,GO:0015031
LOC124192059	GO:0005615,GO:0004866,GO:0005515,GO:0016021,GO:0010951
LOC124192117	GO:0031314,GO:0004395,GO:0008425,GO:0008689,GO:0006744,GO:0032259
LOC124192102	GO:0031314,GO:0004395,GO:0008425,GO:0008689,GO:0006744,GO:0032259
LOC124192094	GO:0009072,GO:0003868,GO:0046872
LOC124192125	GO:0005739,GO:0048039,GO:0006744,GO:0045333
LOC124201752	GO:0005777,GO:0043190,GO:0004521,GO:0004674,GO:0005524,GO:0080019,GO:0102965,GO:0106310,GO:0006397,GO:0006468,GO:0006629,GO:0030968,GO:0035336,GO:0055085,GO:0090502
LOC124200329	GO:0006207,GO:0016021,GO:0004152,GO:0044205,GO:0005743
LOC124200309	GO:0005887,GO:0035725,GO:0015280
LOC124197999	GO:0050919,GO:0016021,GO:0048843,GO:0045499,GO:0030215,GO:0071526,GO:0030335
LOC124198252	GO:0005615,GO:0016020,GO:0004252,GO:0006508
LOC124198232	GO:0005975,GO:0016798
LOC124192473	GO:0005615,GO:0004252,GO:0006508
LOC124198231	GO:0005975,GO:0016798
LOC124198270	GO:0005615,GO:0004252,GO:0006508
LOC124198364	GO:0004252,GO:0006508
LOC124192476	GO:0004252,GO:0006508
LOC124198345	GO:0004252,GO:0006508
LOC124198327	GO:0004252,GO:0006508
LOC124198356	GO:0004252,GO:0006508
LOC124198319	GO:0004252,GO:0006508
LOC124198310	GO:0004252,GO:0006508
LOC124198290	GO:0046872
LOC124192576	GO:0005524,GO:0006508,GO:0004197,GO:0004672,GO:0006468
LOC124198235	GO:0005524,GO:0006508,GO:0004197,GO:0004672,GO:0006468
LOC124198374	GO:0003723,GO:0003735,GO:0002181,GO:0022625
LOC124198381	GO:0046872
LOC124198262	GO:0099158,GO:1905244,GO:0098998,GO:0098837,GO:0098978,GO:0099152
LOC124198182	GO:0005737,GO:0005856,GO:0005085,GO:0046872,GO:0007010,GO:0046847,GO:0050790
LOC124198278	GO:0004865,GO:0043086
LOC124198217	GO:0005737,GO:0043231,GO:0016491,GO:1901981,GO:0006066,GO:0044237
LOC124200558	GO:0005681,GO:0005737,GO:0005515,GO:0010468,GO:0045292
LOC124200565	GO:0005737,GO:0004512,GO:0006021,GO:0008654
LOC124188287	GO:0005887,GO:0007218,GO:0002121,GO:0007217,GO:0004995,GO:0004983
LOC124193623	GO:0005887,GO:0007218,GO:0002121,GO:0007217,GO:0004995,GO:0004983
LOC124193737	GO:0008270,GO:0006508,GO:0004222
LOC124189137	GO:0015698,GO:0000166,GO:0008308,GO:0015288,GO:0098656,GO:0046930,GO:1902017,GO:0005741
