gene,color,number
Tcas000030,blue,2
Tcas000024,blue,2
Tcas000036,blue,2
Tcas000037,blue,2
Tcas000039,blue,2
Tcas000038,blue,2
Tcas000040,blue,2
Tcas000041,blue,2
Tcas000043,blue,2
Tcas000044,blue,2
Tcas000045,blue,2
Tcas000054,blue,2
Tcas000050,blue,2
Tcas000047,blue,2
Tcas000052,blue,2
Tcas000051,blue,2
Tcas000057,blue,2
Tcas000056,blue,2
Tcas000059,blue,2
Tcas000061,blue,2
Tcas000063,blue,2
Tcas000065,blue,2
Tcas000066,blue,2
Tcas000069,blue,2
Tcas000071,blue,2
Tcas000070,blue,2
Tcas000072,blue,2
Tcas000079,blue,2
Tcas000082,blue,2
Tcas000086,blue,2
Tcas000087,blue,2
Tcas000088,blue,2
Tcas000095,blue,2
Tcas000096,blue,2
Tcas000098,blue,2
Tcas000099,blue,2
Tcas000110,blue,2
Tcas000109,blue,2
Tcas000114,blue,2
Tcas000105,blue,2
Tcas000112,blue,2
Tcas000103,blue,2
Tcas000118,blue,2
Tcas000275,blue,2
Tcas000604,blue,2
Tcas001031,blue,2
Tcas001588,blue,2
Tcas001011,blue,2
Tcas000260,blue,2
Tcas000256,blue,2
Tcas000914,blue,2
Tcas000503,blue,2
Tcas001193,blue,2
Tcas001609,blue,2
Tcas000449,blue,2
Tcas001257,blue,2
Tcas001614,blue,2
Tcas001413,blue,2
Tcas001660,blue,2
Tcas001636,blue,2
Tcas000603,blue,2
Tcas000515,blue,2
Tcas000141,blue,2
Tcas001374,blue,2
Tcas000384,blue,2
Tcas001395,blue,2
Tcas001131,blue,2
Tcas000906,blue,2
Tcas000173,blue,2
Tcas000455,blue,2
Tcas000553,blue,2
Tcas001242,blue,2
Tcas000660,blue,2
Tcas000184,blue,2
Tcas000545,blue,2
Tcas000826,blue,2
Tcas000809,blue,2
Tcas000182,blue,2
Tcas000973,blue,2
Tcas000608,blue,2
Tcas000549,blue,2
Tcas000887,blue,2
Tcas000537,blue,2
Tcas001203,blue,2
Tcas001446,blue,2
Tcas001631,blue,2
Tcas000329,blue,2
Tcas000337,blue,2
Tcas001042,blue,2
Tcas001504,blue,2
Tcas001256,blue,2
Tcas000888,blue,2
Tcas001301,blue,2
Tcas001162,blue,2
Tcas001599,blue,2
Tcas000258,blue,2
Tcas001051,blue,2
Tcas000960,blue,2
Tcas000349,blue,2
Tcas000238,blue,2
Tcas000264,blue,2
Tcas000425,blue,2
Tcas000442,blue,2
Tcas001143,blue,2
Tcas000202,blue,2
Tcas001275,blue,2
Tcas000217,blue,2
Tcas000351,blue,2
Tcas001118,blue,2
Tcas001391,blue,2
Tcas001680,blue,2
Tcas000901,blue,2
Tcas001025,blue,2
Tcas000539,blue,2
Tcas001330,blue,2
Tcas000579,blue,2
Tcas001088,blue,2
Tcas000882,blue,2
Tcas000804,blue,2
Tcas000912,blue,2
Tcas000543,blue,2
Tcas000401,blue,2
Tcas000363,blue,2
Tcas001280,blue,2
Tcas001681,blue,2
Tcas001465,blue,2
Tcas001698,blue,2
Tcas001517,blue,2
Tcas000248,blue,2
Tcas001509,blue,2
Tcas001686,blue,2
Tcas000436,blue,2
Tcas000646,blue,2
Tcas001475,blue,2
Tcas000890,blue,2
Tcas000803,blue,2
Tcas001141,blue,2
Tcas000441,blue,2
Tcas001390,blue,2
Tcas001043,blue,2
Tcas000239,blue,2
Tcas001737,blue,2
Tcas000899,blue,2
Tcas001678,blue,2
Tcas001665,blue,2
Tcas000907,blue,2
Tcas001409,blue,2
Tcas001295,blue,2
Tcas001192,blue,2
Tcas001306,blue,2
Tcas000205,blue,2
Tcas001241,blue,2
Tcas001515,blue,2
Tcas000770,blue,2
Tcas000233,blue,2
Tcas000457,blue,2
Tcas001729,blue,2
Tcas000614,blue,2
Tcas001731,blue,2
Tcas001028,blue,2
Tcas000283,blue,2
